Location,County,Library Type,Geographic Code,Interlibrary Relationship code,Legal Basis Code,CLSA System Library,Street Address,City,Zip,Zip +4,Public Phone Number - Administration,Reference Phone Number,Library's Web Address,Size Square Mile,Closed Outlets Due to COVIDunavailable9,Public Services During COVIDunavailable9,Electronic Materials Added Due to COVIDunavailable9,Electronic Library Cards Issued Before COVIDunavailable9,Electronic Library Cards Issued During COVIDunavailable9,Reference Service During COVIDunavailable9,Outside Service During COVIDunavailable9,Live Virtual Programs During COVIDunavailable9,Recordings of Program Content During COVIDunavailable9,External WiFi Access Before COVIDunavailable9,External WiFi Access Added During COVIDunavailable9,External WiFi Access Increased During COVIDunavailable9,Staff Re-Assigned During COVIDunavailable9,Population of The Legal Service Area,Registered Users as of June 30,Children Borrowers,# of Central Libraries,# of Branch Libraries,# of Bookmobiles,Total # of Outlets,Total Square Footage,Local Government Income,State Income,Federal Income,Other Operating Income,Total Operating Income,Capital Outlay Income from Local Sources,Capital Outlay Income from State  Sources,Capital Outlay Income from Federal Sources,Capital Outlay Income from Other Sources,Total Capital Outlay Income,Salary & Wages Expenditures,Employee Benefits Expenditures,Total Staff Expenditures,Print Materials Expenditures,Print Serial Subscription Expenditures,Total Print Materials Expenditures,Electronic Materials Expenditures,Other Materials Expenditures,Total Collection Expenditures,All Other Operating Expenditures,Total Operating Expenditures,Total Capital Expenditures,Total persons employed,# of ALA MLS Librarian FTEs,# of Librarian FTEs,FTE All other paid staff,Staff FTE,FTE Volunteers,Books Children Held,Books Young Adult Held,Total Print Materials Held,# of Electronic Books in Collection,# of Physical Audio Materials in Collection,# of Downloadable Audio Materials in Collection,# of Physical Video Materials in Collection,# of Downloadable Video Materials in Collection,# of Electronic Collections through Local and Other Funding in Collection,# of Electronic Collections through State Funding in Collection,# of Electronic Collections in Collection,# of Current Serial Subscriptions,"Hours Open, All Outlets",Library Visits,Library visits reporting method,Reference Questions,Reference transactions reporting method,Physical Item Circulation,Circulation of Childrens Materials,Circulation of Non English Materials,Circulation of Electronic Materials,Successful Retrieval of Electronic Information,Electronic Content Use,Total Circulation,Total Collection Use,ILL loans to others,ILL loans received,# of Children's Programs (calculated),"# of Children's Programs - Live, In-person","# of Children's Programs - Live, Virtual",Children's Program Attendance,"Children's Program Attendance - Live, In-person","Children's Program Attendance - Live, Virtual",# of Young Adult Programs (calculated),"# of Young Adult Programs - Live, In-person","# of Young Adult Programs - Live, Virtual",Young Adult Program Attendance (calculated),"Young Adult Program Attendance - Live, In-person","Young Adult Program Attendance - Live, Virtual",# of Adult Programs (calculated),"# of Adult Programs - Live, In-person","# of Adult Programs - Live, Virtual",Adult Program Attendance (calculated),"Adult Program Attendance - Live, In-person","Adult Program Attendance - Live, Virtual","Of the above programs, how many were offsite?",Attendance at offsite programs,Total # of Programs,Total Program Attendance,# recordings of program content,# views of recorded program content,# on-demand views of recorded live programs,CIPA Compliant,Annual Uses of Public Internet Computers,Virtual Visits to the library website,Wireless Sessions Per Year,# of Internet Terminals,FSCS ID,Fiscal Year
PLACER COUNTY LIBRARY,Placer,County Library with Dedicated Tax,County/Parish (most nearly),Member of a Federation or Cooperative,County/Parish,NorthNet Library System,350 NEVADA ST.,AUBURN,95603,3789,(530) 886-4550,(530) 886-4510,http://www.placer.ca.gov/library,"1,403.60",Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,"202,343","100,111","10,383",1,8,0,10,"60,964","$8,036,188 ","$58,699 ",$0 ,"$142,556 ","$8,237,443 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$2,772,134 ","$2,049,495 ","$4,821,629 ","$236,483 ","$18,566 ","$255,049 ","$162,927 ","$52,310 ","$470,286 ","$2,463,960 ","$7,755,875 ","$9,170 ",50.43,13.48,13.48,36.95,50.43,1.15,"74,519","11,290","175,161","14,499","14,231","5,389","14,776",148,9,3,12,249,"9,986","373,407",Annual Count,"10,315",Annual Count,"600,795","250,968","4,186","132,560","5,878","138,438","733,355","739,233",0,0,817,816,1,"23,452","21,937","1,515",47,47,0,527,527,0,226,226,0,"3,513","3,513",0,0,0,"1,090","27,492",9,"4,701",unavailable,No,"26,090","150,256",unavailable,64,CA0009,19-20
PLEASANTON PUBLIC LIBRARY,Alameda,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,400 OLD BERNAL AVE.,PLEASANTON,94566,7012,(925) 931-3400,(925) 931-3400,http://www.cityofpleasantonca.gov/gov/depts/lib/default.asp,22,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,"79,464","45,102","6,289",1,0,0,1,"30,000","$4,066,306 ","$57,906 ",$0 ,$0 ,"$4,124,212 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$2,084,533 ","$1,308,722 ","$3,393,255 ","$186,778 ","$8,929 ","$195,707 ","$215,327 ","$63,807 ","$474,841 ","$290,543 ","$4,158,639 ","$1,033,353 ",33.25,10.75,11.75,21.5,33.25,10,"82,257","7,013","145,462","561,786","11,682","385,486","15,060","42,897",23,3,26,147,"2,294","399,594",Annual Count,"40,350",Annual Estimate Based on Typical Week(s),"852,615","605,225","18,111","212,275","112,189","324,464","1,064,890","1,177,079","7,070","10,503",319,313,6,"10,112","9,182",930,18,18,0,"2,932","2,932",0,109,106,3,"4,911","4,900",11,324,"13,261",446,"17,955",8,"4,592","1,800",Yes,"45,688","247,752","41,641",27,CA0206,19-20
PLUMAS COUNTY LIBRARY,Plumas,County Library with Dedicated Tax,Multi-County (exactly),Member of a Federation or Cooperative,County/Parish,NorthNet Library System,445 JACKSON ST.,QUINCY,95971,9410,(530) 283-6310,-1,http://plumascounty.us/index.aspx?nid=546,"3,528.00",Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,"21,461","10,149","1,755",1,7,0,8,"18,651","$428,653 ","$83,404 ",$0 ,"$32,570 ","$544,627 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$313,528 ","$167,097 ","$480,625 ","$12,834 ","$2,512 ","$15,346 ","$13,712 ","$2,194 ","$31,252 ","$89,582 ","$601,459 ",$0 ,34,1.5,3.24,7.49,10.73,0.85,"21,586","3,368","87,337","34,576","6,413","13,358","7,410","34,000",4,3,7,83,"6,172","45,536",Annual Count,"9,482",Annual Count,"47,113","10,446",41,"6,582",unavailable,unavailable,"53,695",unavailable,0,0,176,167,9,"1,742","1,715",27,1,1,0,19,19,0,204,204,0,"1,033","1,033",0,181,"1,067",381,"2,794",7,77,27,No,"11,549",unavailable,unavailable,36,CA0097,19-20
POMONA PUBLIC LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,625 S. GAREY AVE.,POMONA,91766,3322,(909) 620-2035,(909) 620-2043,http://www.pomonalibrary.org,23,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No,No,"154,817","43,000","9,800",1,0,0,1,"57,000","$825,492 ",$0 ,$0 ,"$20,164 ","$845,656 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$352,180 ","$35,923 ","$388,103 ","$35,535 ","$3,258 ","$38,793 ","$6,701 ","$2,542 ","$48,036 ","$389,352 ","$825,491 ",$0 ,19,2.25,2.25,7.5,9.75,0,"46,022","6,762","241,645",0,"4,981",0,"1,054",0,1,1,2,58,"1,102","53,910",Annual Estimate Based on Typical Week(s),"9,653",Annual Count,"34,175","15,931","3,382",unavailable,432,unavailable,unavailable,unavailable,0,0,39,,,"1,832",,,30,,,191,,,1,,,7,,,0,0,70,"2,030",7,"4,821",0,Yes,"28,853",unavailable,unavailable,36,CA0098,19-20
PORTERVILLE PUBLIC LIBRARY,Tulare,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",San Joaquin Valley Library System,"15 EAST THURMAN AVENUE, SUITE B",PORTERVILLE,93257,3704,(559) 784-0177,(559) 784-0177,http://www.portervillelibrary.org,12,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,"59,655","14,878","3,564",1,0,0,1,"20,024","$1,373,102 ","$84,522 ",$0 ,$0 ,"$1,457,624 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$649,325 ","$306,755 ","$956,080 ","$75,361 ","$2,630 ","$77,991 ","$26,240 ","$28,655 ","$132,886 ","$204,659 ","$1,293,625 ",$0 ,11,1,1,10,11,0,"3,744",368,"7,670","159,071",467,"8,756","1,660",267,40,3,43,0,"2,149","71,006",Annual Count,unavailable,Annual Estimate Based on Typical Week(s),"104,960","41,368","6,738","6,268","1,590","7,858","111,228","112,818","16,951","9,611",337,314,23,"8,815","8,511",304,38,38,0,562,562,0,450,450,0,"4,082","4,082",0,93,"1,674",825,"13,459",0,0,726,Yes,unavailable,"53,763","11,011",0,CA0099,19-20
RANCHO CUCAMONGA PUBLIC LIBRARY,San Bernardino,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Inland Library System,7368 ARCHIBALD AVENUE,RANCHO CUCAMONGA,91730,1401,(909) 477-2720,(909) 477-2720,http://www.rcpl.lib.ca.us/,38,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,"175,522","318,880","80,991",0,2,0,3,"45,497","$4,711,464 ","$24,083 ",$0 ,"$534,560 ","$5,270,107 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$2,079,969 ","$839,110 ","$2,919,079 ","$286,590 ","$12,371 ","$298,961 ","$213,503 ","$42,240 ","$554,704 ","$371,164 ","$3,844,947 ",$0 ,56.1,10.5,14.5,41.6,56.1,6,"112,199","12,948","226,580","268,973","16,072","58,362","15,101","25,583",27,4,31,252,"4,068","351,941",Annual Count,"109,952",Annual Count,"661,245","392,348","5,883","83,055","55,347","138,402","744,300","799,647",0,38,884,874,10,"15,391","15,215",176,32,28,4,562,527,35,163,155,8,"2,238","2,198",40,20,"3,034","1,079","18,191",24,"3,740","1,394",Yes,"39,835","224,196",unavailable,45,CA0194,19-20
RANCHO MIRAGE PUBLIC LIBRARY,Riverside,Municipal Library,"Municipal Government (city, town or village) (most nearly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Inland Library System,71unavailable00 HIGHWAY 111,RANCHO MIRAGE,92270,4123,(760) 341-7323,(760) 341-7323,http://www.ranchomiragelibrary.org,25,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,"19,114","46,902","2,247",1,0,0,1,"45,092","$3,295,553 ",$0 ,$0 ,"$40,850 ","$3,336,403 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$1,654,844 ","$622,938 ","$2,277,782 ","$120,512 ","$10,182 ","$130,694 ","$77,306 ","$32,000 ","$240,000 ","$1,042,289 ","$3,560,071 ",$0 ,40,9,10,18,28,3,"13,477","3,341","79,548","6,469","9,616","2,627","12,588","24,124",18,4,22,100,"2,184","173,860",Annual Count,"49,880",Annual Count,"248,099","68,462",486,"54,951","335,462","390,413","303,050","638,512",13,60,197,197,0,"9,800","9,800",0,6,6,0,106,106,0,453,444,9,"27,038","19,648","7,390",0,0,656,"36,944",58,"25,577","1,705",No,"10,587","145,231",unavailable,31,CA0196,19-20
REDONDO BEACH PUBLIC LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,303 N. PACIFIC COAST HWY,REDONDO BEACH,90277,2838,(310) 318-0676,(310) 318-0675,http://redondo.org/library,7,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,"66,994","61,847","9,426",1,1,0,2,"62,287","$4,574,747 ",$0 ,$0 ,"$37,221 ","$4,611,968 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$1,648,798 ","$514,109 ","$2,162,907 ","$111,180 ","$13,521 ","$124,701 ","$160,635 ","$45,000 ","$330,336 ","$2,078,395 ","$4,571,638 ",$0 ,58,7,7,15,22,0.1,"60,032","8,854","156,871","462,365","23,421","370,000","21,939","58,994",10,4,14,215,"3,316","210,999",Annual Count,"13,619",Annual Count,"343,217","167,860","6,104","59,747","53,642","113,389","402,964","456,606",41,9,201,199,2,"7,711","7,230",481,24,24,0,146,146,0,90,90,0,"1,298","1,298",0,0,0,315,"9,155",2,481,0,No,unavailable,"60,158","196,521",22,CA0100,19-20
REDWOOD CITY PUBLIC LIBRARY,San Mateo,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,1044 MIDDLEFIELD RD,REDWOOD CITY,94063,1868,(650) 780-7061,(650) 780-7018,http://www.redwoodcity.org/library,34,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,"86,754","56,943","13,587",1,3,0,4,"79,800","$9,193,843 ","$273,118 ",$0 ,"$201,154 ","$9,668,115 ","$286,000 ",$0 ,$0 ,$0 ,"$286,000 ","$4,598,728 ","$2,132,847 ","$6,731,575 ","$253,253 ","$18,267 ","$271,520 ","$187,047 ","$117,183 ","$575,750 ","$2,265,961 ","$9,573,286 ","$106,504 ",90,11.42,14.1,36.7,50.8,23.92,"102,253","9,687","196,555","328,393","14,502","39,502","25,869","80,832",36,4,40,271,"7,696","533,135",Annual Count,"6,998",Annual Estimate Based on Typical Week(s),"761,453","455,149","31,666","155,401","165,577","320,978","916,854","1,082,431","61,007","58,676","6,038","4,747","1,291","109,657","98,328","11,329","1,255",651,604,"20,647","10,723","9,924","5,065","4,720",345,"17,519","16,848",671,"2,102","46,271","12,358","147,823",113,"10,553",586,No,"57,090","97,462","821,196",219,CA0101,19-20
RICHMOND PUBLIC LIBRARY,Contra Costa,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,325 CIVIC CENTER PLAZA,RICHMOND,94804,1659,(510) 620-6555,(510) 620-6561,http://www.richmondlibrary.org,55,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,"111,217","93,561","29,033",1,2,2,5,"34,972","$5,303,271 ","$176,392 ","$12,000 ","$411,670 ","$5,903,333 ","$114,017 ",$0 ,$0 ,$0 ,"$114,017 ","$2,250,044 ","$1,766,686 ","$4,016,730 ","$294,980 ","$11,600 ","$306,580 ","$42,650 ","$46,300 ","$395,530 ","$891,101 ","$5,303,361 ","$2,731 ",49,9,9,40,49,2.5,"63,949","6,259","150,185","30,621","4,044","1,888","11,402",3,2,1,3,152,unavailable,unavailable,unavailable,"5,500",Annual Estimate Based on Typical Week(s),"104,749","54,490","4,816","15,115","3,480","18,595","119,864","123,344","4,131","2,856",452,428,24,"13,333","12,096","1,237",16,16,0,263,263,0,132,122,10,791,767,24,5,194,600,"14,387",23,647,647,Yes,"18,016","13,300",575,47,CA0102,19-20
RIVERSIDE COUNTY LIBRARY SYSTEM,Riverside,County Library with Dedicated Tax,County/Parish (most nearly),Member of a Federation or Cooperative,County/Parish,Inland Library System,5840 MISSION BLVD,JURUPA VALLEY,92509,3650,(951) 274-4512,N/A,http://www.rivlib.net,"7,017.00",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,"1,353,055","373,621","57,368",0,35,2,37,"369,427","$18,437,945 ","$10,241,094 ",$0 ,"$368,871 ","$29,047,910 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$695,245 ","$34,720 ","$729,965 ","$579,548 ",$0 ,"$1,309,513 ","$27,654,653 ","$28,964,166 ",$0 ,308,37,53,164,217,26.96,"505,335","77,889","1,083,724","28,405","55,663","42,562","119,180","24,058",21,4,25,426,unavailable,"2,103,279",Annual Count,"290,542",Annual Count,"2,073,641","1,155,421","59,574","165,064","251,768","416,832","2,238,705","2,490,473","46,811","39,530","4,125",0,0,"83,074",0,0,767,0,0,"7,477",0,0,"3,215",0,0,"26,181",0,0,680,"18,738","8,107","116,732",5,161,unavailable,Yes,"243,551","1,902,469","422,412",744,CA0199,19-20
RIVERSIDE PUBLIC LIBRARY,Riverside,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Inland Library System,3581 MISSION INN AVE.,RIVERSIDE,92501,3377,(951) 826-5213,(951) 826-5201,http://www.riversideca.gov/library/,86,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,"328,155","327,965","29,588",1,7,1,9,"136,576","$7,201,405 ","$81,159 ","$5,000 ","$410,201 ","$7,697,765 ","$931,221 ",$0 ,$0 ,$0 ,"$931,221 ","$3,152,890 ","$1,531,678 ","$4,684,568 ","$144,231 ","$41,882 ","$186,113 ","$126,899 ","$20,219 ","$333,231 ","$2,979,966 ","$7,997,765 ","$25,707,303 ",57,9,9,51,60,2.51,"118,559","17,083","276,056","97,231","12,311",644,"22,323",0,8,4,12,117,unavailable,"591,427",Annual Count,"76,012",Annual Count,"496,694","300,893","17,706","44,235","47,330","91,565","540,929","588,259",22,21,"1,214",,,"23,111",,,154,,,"1,346",,,360,,,"1,953",,,24,"2,406","1,728","26,410",23,191,14,Yes,"109,392","3,771,552","171,144",308,CA0103,19-20
ROSEVILLE PUBLIC LIBRARY,Placer,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",NorthNet Library System,225 TAYLOR ST.,ROSEVILLE,95678,2681,(916) 774-5221,(916) 774-5221,http://www.roseville.ca.us/library,31,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,"145,163","104,327","26,371",1,2,0,3,"54,300","$4,514,285 ","$30,370 ",$0 ,"$100,779 ","$4,645,434 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$1,800,032 ","$901,925 ","$2,701,957 ","$163,882 ","$1,945 ","$165,827 ","$90,132 ","$29,357 ","$285,316 ","$1,658,160 ","$4,645,433 ",$0 ,69,6,8,23.5,31.5,0.97,"64,613","11,937","148,745","18,536","8,693","6,902","10,909","24,032",14,3,17,28,"5,584","330,228",Annual Count,"22,155",Annual Count,"834,842","318,816","4,159","140,712","23,669","164,381","975,554","999,223",58,94,249,247,2,"13,686","13,686",0,1,1,0,17,17,0,123,123,0,"1,140","1,140",0,3,101,373,"14,843",19,"2,409",683,Yes,"38,452","1,013,250","9,698",99,CA0104,19-20
SACRAMENTO PUBLIC LIBRARY,Sacramento,Joint Powers Authority,County/Parish (most nearly),Member of a Federation or Cooperative,Multi-jurisdictional,NorthNet Library System,828 I ST.,SACRAMENTO,95814,2508,(916) 264-2965,(916) 264-2920,http://www.saclibrary.org,975,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,"1,473,755","766,505","172,842",1,27,2,30,"454,799","$45,470,202 ","$55,720 ","$388,644 ","$3,008,426 ","$48,922,992 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$22,777,318 ","$5,718,059 ","$28,495,377 ","$2,136,676 ","$167,514 ","$2,304,190 ","$3,555,788 ","$229,812 ","$6,089,790 ","$10,988,486 ","$45,573,653 ","$1,154,460 ",347,79.5,90.5,208.5,299,53,"415,678","72,029","1,039,349","258,027","27,930","155,781","78,394","32,638",39,4,43,"1,429",unavailable,"2,653,910",Annual Count,"116,948",Annual Estimate Based on Typical Week(s),"4,389,228","2,549,255","114,789","2,612,738","3,477,122","6,089,860","7,001,966","10,479,088","148,737","113,164","4,260","4,181",79,"119,637","117,237","2,400","1,831","1,808",23,"24,268","24,088",180,"1,975","1,906",69,"20,028","19,299",729,"1,276","85,690","8,066","163,933",124,"7,442","8,947",Yes,"351,684","5,116,389",unavailable,772,CA0105,19-20
SALINAS PUBLIC LIBRARY,Monterey,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,350 LINCOLN AVE.,SALINAS,93901,2692,(831) 758-7458,(831) 758-7311,http://www.salinaspubliclibrary.org,19,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,"162,222","51,992","20,358",1,2,1,4,"60,207","$5,487,250 ","$416,950 ",$0 ,"$497,728 ","$6,401,928 ","$938,217 ",$0 ,$0 ,"$400,000 ","$1,338,217 ","$1,631,177 ","$1,891,661 ","$3,522,838 ","$117,283 ","$13,448 ","$130,731 ","$158,667 ","$53,682 ","$343,080 ","$507,807 ","$4,373,725 ","$437,421 ",98,8,10.5,31.5,42,5,"80,599","9,643","161,467","460,546","7,572","390,761","15,667","41,661",12,2,14,112,unavailable,"398,510",Annual Count,unavailable,Annual Estimate Based on Typical Week(s),"209,629","128,055","28,272","26,186","57,537","83,723","235,815","293,352",0,0,703,702,1,"32,593","32,543",50,45,45,,338,338,,136,117,19,"2,518","2,121",397,152,"11,429",884,"35,449",29,"5,187",unavailable,No,"57,167","115,248",unavailable,124,CA0106,19-20
SAN ANSELMO PUBLIC LIBRARY,Marin,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",NorthNet Library System,110 TUNSTEAD AVE.,SAN ANSELMO,94960,2617,(415) 258-4656,(415) 258-4656,http://sananselmolibrary.org,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,"12,757","7,334","1,235",1,0,0,1,"6,600","$957,165 ",$0 ,$0 ,"$30,000 ","$987,165 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$442,060 ","$157,285 ","$599,345 ","$68,586 ","$6,500 ","$75,086 ","$35,000 ","$4,500 ","$114,586 ","$160,183 ","$874,114 ",$0 ,6,3,3,3,6,0.5,"14,254","1,181","48,091","610,327","2,195","387,327","2,684","64,359",13,2,15,103,"1,794","45,318",Annual Count,"17,976",Annual Estimate Based on Typical Week(s),"68,941","24,937",590,"36,122","9,804","45,926","105,063","114,867","29,451","15,810",225,185,40,"2,961","1,132","1,829",21,21,0,179,179,0,77,63,14,835,647,188,5,135,323,"3,975",113,"2,075","2,138",No,"7,521","21,389",unavailable,4,CA0107,19-20
SAN BENITO COUNTY FREE LIBRARY,San Benito,County Library General Fund,County/Parish (most nearly),Member of a Federation or Cooperative,County/Parish,Pacific Library Partnership,470 FIFTH ST.,HOLLISTER,95023,3885,(831) 636-4097,(831) 636-4107,www.sbcfl.org,"1,396.00",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,"60,241","43,242","19,764",1,0,1,2,"11,227","$910,934 ","$268,000 ",$0 ,"$59,283 ","$1,238,217 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$556,730 ","$206,260 ","$762,990 ","$135,000 ","$5,000 ","$140,000 ","$118,311 ","$10,657 ","$268,968 ","$206,259 ","$1,238,217 ",$0 ,14,2.7,3.7,5.77,9.47,1.75,"37,863","7,962","104,315","501,738","1,855","166,470","9,507","47,452",30,3,33,23,unavailable,"115,007",Annual Count,"8,914",Annual Count,"210,210","76,236","13,416","19,011","13,947","32,958","229,221","243,168",84,6,595,540,55,"19,465","10,428","9,037",31,24,7,611,191,420,74,70,4,756,636,120,196,"9,093",700,"20,832",26,"3,160",902,No,"33,185","147,864","16,392",25,CA0108,19-20
SAN BERNARDINO COUNTY LIBRARY,San Bernardino,County Library with Dedicated Tax,County/Parish (most nearly),Member of a Federation or Cooperative,County/Parish,Inland Library System,777 EAST RIALTO AVE,SAN BERNARDINO,92415,35,(909) 387-2220,(909) 790-3146,www.sbclib.org,"20,000.00",Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,"1,273,882","626,936","125,267",0,32,0,32,"368,894","$19,884,921 ","$117,623 ","$513,995 ","$1,159,207 ","$21,675,746 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$6,425,369 ","$1,997,600 ","$8,422,969 ","$1,215,447 ","$39,885 ","$1,255,332 ","$786,676 ",$0 ,"$2,042,008 ","$7,439,600 ","$17,904,577 ","$1,379,683 ",328,5,28,93,121,17,"555,138","105,007","1,143,168","45,565","31,761","13,281","75,554","2,985",23,3,26,768,"49,626","1,730,210",Annual Count,unavailable,unavailable,"3,946,302","2,745,805","55,014","772,315",unavailable,unavailable,"4,718,617",unavailable,"2,376","2,875","4,296","4,278",18,"162,167","158,879","3,288",294,294,0,"7,419","7,419",0,"1,199","1,199",0,"25,995","25,995",0,0,unavailable,"5,789","195,581",11,"2,452",0,Yes,"471,703","1,919,516",unavailable,808,CA0109,19-20
SAN BERNARDINO PUBLIC LIBRARY,San Bernardino,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Inland Library System,555 W. SIXTH ST.,SAN BERNARDINO,92410,3094,(909) 381-8215,(909) 381-8221,http://www.sbpl.org,58,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,"217,946","22,419","4,311",1,3,0,4,"80,300","$1,907,735 ","$216,453 ",$0 ,"$86,000 ","$2,210,188 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$1,081,630 ","$384,634 ","$1,466,264 ","$35,000 ","$15,300 ","$50,300 ","$37,000 ",$0 ,"$87,300 ","$656,524 ","$2,210,088 ",$0 ,35,4,4,18,22,3,"58,933","6,661","208,741","137,098","1,113","1,084","10,094",0,12,4,16,160,"3,492","118,562",Annual Count,"39,260",Annual Estimate Based on Typical Week(s),"70,981","28,038","2,173","6,877","5,518","12,395","77,858","83,376",41,30,405,405,0,"6,901","6,901",0,27,27,0,179,179,0,81,81,0,"1,266","1,266",0,0,0,513,"8,346",6,"1,747",unavailable,Yes,"30,082",unavailable,unavailable,62,CA0110,19-20
SAN BRUNO PUBLIC LIBRARY,San Mateo,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,701 ANGUS AVE. W.,SAN BRUNO,94066,3490,(650) 616-7078,-1,http://www.sanbrunolibrary.org,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,"45,454","20,828","4,860",1,0,0,1,"15,600","$2,513,494 ",$0 ,"$42,525 ","$33,673 ","$2,589,692 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$932,620 ","$478,216 ","$1,410,836 ","$98,408 ","$10,992 ","$109,400 ","$34,132 ","$22,725 ","$166,257 ","$834,313 ","$2,411,406 ",$0 ,21,5,5,2.5,7.5,13,"29,899","2,356","76,705","180,239","8,099","30,571","11,402","24,593",60,3,63,144,"1,927","161,907",Annual Count,"15,167",Annual Count,"292,784","86,392","5,199","29,195","9,349","38,544","321,979","331,328","47,664","15,846",351,322,29,"11,004","9,987","1,017",6,5,1,133,124,9,76,76,0,775,775,0,39,"2,022",433,"11,912",24,0,473,Yes,"12,425","35,077","92,596",17,CA0111,19-20
