Location,County,Library Type,Geographic Code,Interlibrary Relationship code,Legal Basis Code,CLSA System Library,Street Address,City,Zip,Zip +4,Public Phone Number - Administration,Reference Phone Number,Library's Web Address,Size Square Mile,Closed Outlets Due to COVID-19,Public Services During COVID-19,Electronic Library Cards During COVID-19,Reference Service During COVID-19,Outside Service During COVID-19,External WiFi Access Added During COVID-19,External WiFi Access Increased During COVID-19,Staff Re-Assigned During COVID-19,Population of The Legal Service Area,Registered Users as of June 30,Children Borrowers,# of Central Libraries,# of Branch Libraries,# of Bookmobiles,Total # of Outlets,Number of kiosks,Total Square Footage,Local Government Income,State Income,Federal Income,Other Operating Income,Total Operating Income,Capital Outlay Income from Local Sources,Capital Outlay Income from State  Sources,Capital Outlay Income from Federal Sources,Capital Outlay Income from Other Sources,Total Capital Outlay Income,Salary & Wages Expenditures,Employee Benefits Expenditures,Total Staff Expenditures,Print Materials Expenditures,Print Serial Subscription Expenditures,Total Print Materials Expenditures,Electronic Materials Expenditures,Other Materials Expenditures,Total Collection Expenditures,All Other Operating Expenditures,Total Operating Expenditures,Total Capital Expenditures,Total persons employed,# of ALA MLS Librarian FTEs,# of Librarian FTEs,FTE All other paid staff,Total Staff FTE,Total number of volunteers (count heads),Total hours volunteered in the reporting year,Books Children Held,Books Young Adult Held,Total Print Materials Held,# of Physical Audio Materials,# of Physical Video Materials,"Do you loan internet enabled devices? (Laptops, Chromebooks, etc.)",How many devices available for check-out and use outside the library?,Do you lend hot spots?,How many hot spots available for check-out and use outside the library?,Other Physical Items,Total Physical Items,# of Current Serial Subscriptions,Total Electronic Books,# of Downloadable Audio Materials,# of Downloadable Video Materials,Electronic Collections Locally Funded as of June 30,Electronic Collections State Funded,# of Electronic Collections,"Hours Open, All Outlets",Library Visits,Library visits reporting method,Reference Questions,Reference transactions reporting method,Do you charge any patrons late fines for physical materials?,Charge per day for Adults,For Young Adults,For Children,Physical Item Circulation,Circulation of Children's Materials,Circulation of Non English Materials,ILL loans to others,ILL loans received,"Circulation of internet-enabled devices (laptops, Chromebooks, etc)",Circulation of hotspots,Circulation of Other Physical Items,Circulation of Electronic Materials,Successful Retrieval of State-funded Electronic information (autofilled),Successful Retrieval of locally-funded electronic information,Successful Retrieval of Electronic Information,Total Annual Circulation,Total Electronic Content Use,Total Content Use,Are you able to report live programming and virtual programming separately?,# of Programs,Program Attendance,of Children's Programs (calculated),Program Attendance,# of Children's Programs for Ages 0-5 (calculated),"# of Children's Programs (ages 0-5) - Live, In-person","# of Children's Programs (ages 0-5) - Live, Virtual",Children's Program Attendance (calculated),"# of Children's Program Attendees (ages 0-5) - Live, In-person","# of Children's Program Attendees (ages 0-5) - Live, Virtual",# of Children's Programs for Ages 6-11,"# of Children's Programs (age 6-11) - Live, In-person","# of Children's Programs (age 6-11) - Live, Virtual",Children's Program Attendance,"# of Children's Program Attendees (age 6-11) - Live, In-person","# of Children's Program Attendees (age 6-11) - Live, Virtual",# of Young Adult Programs (calculated),"# of Young Adult Programs - Live, In-person","# of Young Adult Programs - Live, Virtual",Young Adult Program Attendance (calculated),"Young Adult Program Attendance - Live, In-person","Young Adult Program Attendance - Live, Virtual",# of Adult Programs (calculated),"# of Adult Programs - Live, In-person","# of Adult Programs - Live, Virtual",Adult Program Attendance (calculated),"Adult Program Attendance - Live, In-person","Adult Program Attendance - Live, Virtual",# of General Interest Programs (calculated),"# of General Interest Programs - Live, In-person","# of General Interest Programs - Live, Virtual",General Audience attendance (calculated),"General Audience Program Attendance - Live, In-person","General Audience Program Attendance - Live, Virtual","Of the above programs, how many were offsite?",Attendance at offsite programs,# recordings of program content,# views of recorded program content,CIPA Compliant,Annual Uses of Public Internet Computers,Reporting Method for Uses of Computers,Virtual Visits to the library website,Wireless Sessions Per Year,Reporting Method for Wifi Sessions,# of Internet Terminals,ILS System (choose from dropdown or enter other),# of self-directed activities,# of participants,Brief description of activities,FSCS ID,Year
PLACENTIA LIBRARY DISTRICT,Orange,Special District Library,"Place (e.g., incorporated city or village, censusdesignated), entirety",Member of a Federation or Cooperative,Library District,Santiago,411 E. CHAPMAN AVE.,PLACENTIA,92870,6198,(714) 528-1925,(714) 528-1906,https://www.placentialibrary.org,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"51,204","60,784","13,855",1,0,0,1,0,"27,875","$2,879,858 ","$76,402 ","$56,317 ","$354,294 ","$3,366,871 ","$150,417 ","$160,072 ",$0 ,$0 ,"$310,489 ","$1,153,584 ","$405,810 ","$1,559,394 ","$136,608 ","$2,785 ","$139,393 ","$145,276 ","$28,613 ","$313,282 ","$1,182,732 ","$3,055,408 ","$51,324 ",21.75,8.75,9.75,12,21.75,287,"9,248.00","38,600","3,274","72,080","1,751","5,934",Yes,33,Yes,34,420,"80,185",17,"732,902","181,996","61,122",13,22,35,"3,129","184,007",Annual Count,"27,564",Annual Count,No,$0.00 ,$0.00 ,$0.00 ,"320,074","143,740","3,471",0,8,158,59,965,"976,020","4,057","7,041","11,098","1,296,094","987,118","1,307,192",Yes,370,"15,727",142,"9,934",108,98,10,"4,271","3,191","1,080",34,25,9,"5,663","2,612","3,051",21,20,1,368,363,5,199,126,73,979,733,246,8,8,0,"4,446","4,446",0,5,"2,711",17,"3,894",Yes,"15,154",Annual Count,"150,922","15,072",Annual Count,38,Horizon (SirsiDynix),19,"2,196","Reading and activity programs though Beanstack, kits given with no program attached, passive programs in library.",CA0096,21-22
PLACER COUNTY LIBRARY,Placer,County Library with Dedicated Tax,"County or Equivalent, remainder excluding AEs of contained geographies",Member of a Federation or Cooperative,County/Parish,NorthNet Library System,350 NEVADA ST.,AUBURN,95603,3789,(530) 886-4501,(530) 886-4510,http://www.placer.ca.gov/library,"1,403.60",Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,"200,000","110,350","12,108",1,6,0,7,0,"60,967","$8,763,234 ","$69,517 ",$0 ,"$110,780 ","$8,943,531 ","$334,547 ",$0 ,$0 ,$0 ,"$334,547 ","$2,827,414 ","$2,219,132 ","$5,046,546 ","$263,216 ","$10,280 ","$273,496 ","$156,507 ","$78,890 ","$508,893 ","$3,206,472 ","$8,761,911 ","$334,547 ",50,13,13,33.95,46.95,0,0,"92,530","13,095","206,472","21,399","21,464",No,0,No,0,"1,643","250,978",265,"71,839","10,357",0,9,19,28,"2,727","193,685",Annual Count,"8,247",Annual Count,Yes,$0.25 ,$0.25 ,$0.25 ,"574,586","244,585","5,053",0,0,0,0,"2,288","183,771","1,704,018","10,292","1,714,310","758,357","1,898,081","2,472,667",Yes,292,"7,267",180,"4,886",148,148,0,"3,851","3,851",0,32,32,0,"1,035","1,035",0,12,12,0,131,131,0,96,96,0,"1,195","1,195",0,4,4,0,"1,055","1,055",0,4,514,0,0,No,"11,477",Annual Count,"153,115",-1,Annual Count,40,Polaris (Innovative),195,"18,715","Take-home crafts, Summer passive activities, scavenger hunts, other games.",CA0009,21-22
PLEASANTON PUBLIC LIBRARY,Alameda,Municipal Library,"Place (e.g., incorporated city or village, censusdesignated), entirety",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,400 OLD BERNAL AVE.,PLEASANTON,94566,7012,(925) 931-3400,(925) 931-3400,http://www.cityofpleasantonca.gov/gov/depts/lib/default.asp,22,No,Yes,Yes,Yes,Yes,No,No,No,"77,609","55,286","6,371",1,0,0,1,0,"30,000","$4,750,440 ","$50,276 ",$0 ,$0 ,"$4,800,716 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$1,995,503 ","$1,753,266 ","$3,748,769 ","$202,342 ","$7,447 ","$209,789 ","$286,819 ",$0 ,"$496,608 ","$502,570 ","$4,747,947 ",$0 ,34,3,8,12.25,20.25,403,"18,104.00","84,730","5,755","136,166","6,941","12,268",Yes,43,Yes,7,54,"155,429",87,"854,068","530,761","54,028",14,19,33,868,"264,223",Annual Count,"31,044",Annual Count,No,$0.00 ,$0.00 ,$0.00 ,"828,312","636,428","12,867","6,813","6,396",330,53,7,"180,748","11,594","464,323","475,917","1,009,060","656,665","1,484,977",Yes,183,"4,290",70,"2,246",8,8,0,430,430,0,62,45,17,"1,816","1,498",318,16,13,3,252,235,17,66,26,40,559,227,332,31,27,4,"1,233","1,138",95,64,"1,702",11,129,Yes,-1,Annual Count,"521,962","26,770",Annual Count,39,Sierra (Innovative),2,21,word search,CA0206,21-22
PLUMAS COUNTY LIBRARY,Plumas,County Library with Dedicated Tax,"Multi-County, entirety",Member of a Federation or Cooperative,County/Parish,NorthNet Library System,445 JACKSON ST.,QUINCY,95971,9410,(530) 283-6310,-1,https://www.plumascounty.us/546/Library,"3,528.00",No,Yes,Yes,Yes,Yes,No,No,No,"25,400","6,175",989,1,7,0,8,0,"18,651","$546,319 ","$61,165 ","$8,871 ","$5,999 ","$622,354 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$329,982 ","$161,617 ","$491,599 ","$23,182 ","$1,347 ","$24,529 ","$8,887 ",$838 ,"$34,254 ","$96,500 ","$622,353 ",$0 ,23,1,2.73,5.85,8.58,32,853.25,"18,820","2,765","75,431","4,724","7,489",No,0,Yes,5,"1,207","88,851",71,"81,229","19,770","29,628",3,17,20,"6,891","21,356",Annual Count,"3,663",Annual Count,Yes,$0.10 ,$0.10 ,$0.10 ,"22,680","6,706",53,0,0,0,-1,"15,921","104,554","8,809",-1,"8,809","127,234","113,363","136,043",Yes,101,"1,359",87,"1,266",7,7,0,51,51,0,80,70,10,"1,215","1,148",67,0,0,0,0,0,0,14,14,0,93,93,0,0,0,0,0,0,0,20,563,0,0,No,"3,411",Annual Count,-1,-1,,28,Koha (Equinox),14,631,"Audience aimed at 0-18; 1) we have participants complete an activity sheet (type varies) and receive a free book or 2) participants pick-up a to-go bag (includes crafts, books, etc.)",CA0097,21-22
POMONA PUBLIC LIBRARY,Los Angeles,Municipal Library,"Place (e.g., incorporated city or village, censusdesignated), entirety",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,625 S. GAREY AVE.,POMONA,91766,3322,(909) 620-2035,(909) 620-2043,http://www.pomonalibrary.org,23,No,Yes,Yes,Yes,Yes,No,No,No,"149,766","44,228","4,894",1,0,0,1,0,"57,000","$1,104,863 ","$3,500 ",$0 ,$0 ,"$1,108,363 ","$30,000 ","$280,000 ",$0 ,"$44,000 ","$354,000 ","$430,298 ","$187,384 ","$617,682 ","$35,061 ","$2,440 ","$37,501 ","$17,428 ",$0 ,"$54,929 ","$432,252 ","$1,104,863 ","$280,074 ",18,2.25,2.25,3,5.25,7,105,"44,073","6,509","216,244","4,377","2,210",Yes,30,Yes,12,0,"222,831",,399,173,0,0,16,16,"1,666","32,521",Annual Estimate Based on Typical Week(s),"5,335",Annual Count,Yes,$0.25 ,$0.25 ,$0.25 ,"21,494","14,336","2,624",0,0,282,81,10,"8,217",43,0,43,"29,711","8,260","29,754",Yes,60,"2,353",43,567,22,22,0,294,294,0,21,21,0,273,273,0,0,0,0,0,0,0,1,1,0,50,50,0,16,16,0,"1,736","1,736",0,0,0,0,0,Yes,"6,860",Annual Estimate Based on Typical Week(s),"28,374","4,463",Annual Estimate Based on Typical Week(s),28,Library Solution (TLC),2,98,"take home craft and ""passive puzzle""",CA0098,21-22
PORTERVILLE PUBLIC LIBRARY,Tulare,Municipal Library,"Place (e.g., incorporated city or village, censusdesignated), entirety",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",San Joaquin Valley Library System,"15 EAST THURMAN AVENUE, SUITE B",PORTERVILLE,93257,3704,(559) 784-0177,(559) 784-0177,http://www.portervillelibrary.org,12,No,Yes,Yes,Yes,No,No,No,Yes,"62,345","6,316",900,0,0,0,0,0,0,"$1,408,551 ","$36,507 ",$0 ,$0 ,"$1,445,058 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$520,993 ","$273,981 ","$794,974 ","$11,712 ",$201 ,"$11,913 ","$22,996 ",$0 ,"$34,909 ","$140,013 ","$969,896 ",$0 ,19,1,1,10.76,11.76,7,"2,440.00","24,668","1,979","34,282",271,"3,226",No,0,Yes,12,13,"37,792",1,"1,046,321","732,721","75,932",44,20,64,0,0,Annual Count,-1,Annual Estimate Based on Typical Week(s),Yes,$0.25 ,$0.25 ,$0.25 ,104,31,2,3,0,0,20,0,"6,451","1,342","1,053","2,395","6,555","8,846","8,950",Yes,857,"10,682",96,"4,294",77,8,69,315,155,160,19,13,6,"3,979","3,980",-1,1,1,0,204,204,0,607,4,603,"1,662",29,"1,633",153,153,0,"4,522","4,522",0,179,"8,052",79,396,Yes,0,Annual Count,-1,0,Annual Count,0,Horizon (SirsiDynix),158,"5,930",Some of these activities were typical grab'n'go craft bags for children to take home. Most of these self-directed activities were a program that we called Library in the Park/Grab 'n' Go Books. Tables of uncatalogued books were set-up at local parks and participants could come and select books to take home - on the honor system.,CA0099,21-22
RANCHO CUCAMONGA PUBLIC LIBRARY,San Bernardino,Municipal Library,"Place (e.g., incorporated city or village, censusdesignated), entirety",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Inland Library System,12505 CULTURAL CENTER DRIVE,RANCHO CUCAMONGA,91739,8546,(909) 477-2720,(909) 477-2720,http://www.rcpl.lib.ca.us/,38,No,Yes,Yes,Yes,Yes,No,No,No,"174,476","322,537","29,350",0,2,0,2,1,"45,497","$5,326,569 ","$98,849 ",$0 ,"$186,570 ","$5,611,988 ",$0 ,$0 ,$0 ,"$1,576,179 ","$1,576,179 ","$1,890,654 ","$884,758 ","$2,775,412 ","$375,232 ","$8,209 ","$383,441 ","$227,618 ","$106,559 ","$717,618 ","$552,084 ","$4,045,114 ","$75,660 ",43,11,13,24.75,37.75,23,214,"122,622","14,488","236,330","16,969","15,906",Yes,18,Yes,20,376,"269,581",228,"786,788","496,797","24,740",27,21,48,"3,712","135,672",Annual Count,"48,575",Annual Count,No,$0.00 ,$0.00 ,$0.00 ,"475,294","310,220","4,530","4,787","3,591",120,155,"1,031","82,302","4,205","252,797","257,002","557,596","339,304","814,598",Yes,139,758,28,224,28,0,28,224,0,224,0,0,0,0,0,0,18,0,18,97,0,97,93,1,92,437,7,430,0,0,0,0,0,0,1,7,6,319,Yes,"8,203",Annual Count,"149,584",-1,Annual Count,26,Horizon (SirsiDynix),12,"3,800","Patrons participate once a month by picking up an activity kit to take home and completing the STEAM activities based on that month's theme. Other activities include in-library passive programs such as engaging with displays through placing stickers on a map, voting for favorite books, and completing scavenger hunts around the library.",CA0194,21-22
RANCHO MIRAGE PUBLIC LIBRARY,Riverside,Municipal Library,"Place (e.g., incorporated city or village, censusdesignated), overlap",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Inland Library System,71-100 HIGHWAY 111,RANCHO MIRAGE,92270,4123,(760) 341-7323,(760) 341-7323,http://www.ranchomiragelibrary.org,25,No,Yes,Yes,Yes,No,No,No,No,"16,804","49,598","4,182",1,0,0,1,0,"45,092","$3,730,852 ",$0 ,$0 ,"$6,509 ","$3,737,361 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$1,645,984 ","$594,180 ","$2,240,164 ","$85,603 ",$0 ,"$85,603 ","$68,176 ","$33,850 ","$187,629 ","$1,071,416 ","$3,499,209 ",$0 ,43,9,13,12,25,48,"1,381.80","21,193","4,713","73,258","7,997","10,245",No,0,No,0,84,"91,584",83,"7,012","2,874","29,404",13,13,26,"2,072","88,222",Annual Count,"30,678",Annual Estimate Based on Typical Week(s),No,$0.00 ,$0.00 ,$0.00 ,"114,528","66,855",725,0,0,0,0,367,"67,367",306,-1,306,"181,895","67,673","182,201",Yes,220,"13,829",65,"4,780",38,38,0,"1,038","1,038",0,27,27,0,"3,742","3,742",0,2,2,0,4,4,0,125,120,5,"6,161","6,108",53,28,28,0,"2,884","2,884",0,6,"1,856",41,"11,462",No,-1,Annual Count,"158,593",-1,Annual Count,6,Koha (Equinox),18,"2,680","We provided various take-home kits for families to work on at home. Things like: Stem Kits, basic science projects, arts and crafts, word searches and puzzle activities for the family.",CA0196,21-22
REDONDO BEACH PUBLIC LIBRARY,Los Angeles,Municipal Library,"Place (e.g., incorporated city or village, censusdesignated), entirety",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,303 N. PACIFIC COAST HWY,REDONDO BEACH,90277,2838,(310) 318-0676,(310) 318-0675,http://redondo.org/library,7,No,Yes,Yes,Yes,No,No,No,No,"68,972","66,056","9,754",1,1,0,2,0,"62,287","$3,916,507 ",$0 ,$0 ,$0 ,"$3,916,507 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$1,308,955 ","$389,934 ","$1,698,889 ","$122,904 ","$10,651 ","$133,555 ","$109,313 ","$35,219 ","$278,087 ","$1,938,127 ","$3,915,103 ",$0 ,42,10,10,10.5,20.5,60,561.25,"62,054","8,878","161,477","23,966","21,581",No,0,No,0,2,"207,026",150,"1,111,841","1,143,801","29,602",8,18,26,"3,571","134,103",Annual Count,"14,984",Annual Count,Yes,$0.35 ,$0.35 ,$0.35 ,"354,385","195,025","2,260",31,21,,,0,"57,524","1,846","25,855","27,701","411,909","85,225","439,610",Yes,236,"9,344",174,"6,991",94,94,0,"2,387","2,387",0,80,80,0,"4,604","4,604",0,29,29,0,606,606,0,32,4,28,697,465,232,1,1,0,"1,050","1,050",0,0,0,0,0,No,"7,007",Annual Count,"96,931",-1,Annual Estimate Based on Typical Week(s),22,Symphony (SirsiDynix),23,"1,147",Makerspace/take and make at home craft projects.,CA0100,21-22
REDWOOD CITY PUBLIC LIBRARY,San Mateo,Municipal Library,"Place (e.g., incorporated city or village, censusdesignated), entirety",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,1044 MIDDLEFIELD RD,REDWOOD CITY,94063,1868,(650) 780-7061,(650) 780-7018,http://www.redwoodcity.org/library,34,No,Yes,Yes,Yes,Yes,No,Yes,Yes,"82,344","57,490","13,725",1,3,0,4,0,"76,000","$6,988,680 ","$284,532 ",$0 ,"$492,440 ","$7,765,652 ","$400,000 ",$0 ,$0 ,$0 ,"$400,000 ","$4,790,639 ","$2,346,333 ","$7,136,972 ","$299,149 ","$16,465 ","$315,614 ","$135,159 ","$126,893 ","$577,666 ","$2,197,067 ","$9,911,705 ","$408,696 ",87,10.89,13.64,33,46.64,349,"12,461.00","92,456","7,612","179,754","12,877","21,278",Yes,55,Yes,154,195,"214,104",197,"368,136","91,270","119,656",13,19,32,"7,486","405,665",Annual Count,"23,803",Annual Estimate Based on Typical Week(s),No,$0.00 ,$0.00 ,$0.00 ,"760,166","485,463","28,785","77,334","61,051",87,822,"1,587","190,987","18,508","140,799","159,307","951,153","350,294","1,110,460",Yes,"1,674","45,104","1,050","19,207",581,430,151,"14,035","11,737","2,298",469,341,128,"5,172","3,773","1,399",83,44,39,948,513,435,470,347,123,"4,219","2,540","1,679",71,57,14,"20,730","20,425",305,94,"1,873",86,"2,707",No,"14,071",Annual Count,"160,863","923,264",Annual Count,103,Sierra (Innovative),502,"17,265","SEL activities, tinker supplies, STEAM crates, craft kits, mindfulness activities, recipes and ingredients, essay prompts, poetry templates, origami, family literacy ",CA0101,21-22
RICHMOND PUBLIC LIBRARY,Contra Costa,Municipal Library,"Place (e.g., incorporated city or village, censusdesignated), entirety",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,325 CIVIC CENTER PLAZA,RICHMOND,94804,1659,(510) 620-6555,(510) 620-6561,http://www.richmondlibrary.org,55,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,"114,489","26,531","7,421",1,2,0,3,0,"34,972","$5,454,820 ","$170,360 ","$148,832 ","$81,473 ","$5,855,485 ","$44,340 ",$0 ,$0 ,$0 ,"$44,340 ","$2,278,782 ","$1,860,816 ","$4,139,598 ","$197,041 ","$7,760 ","$204,801 ","$80,378 ","$10,000 ","$295,179 ","$601,802 ","$5,036,579 ","$5,399 ",46,9,9,29,38,0,0,"51,217","4,385","112,044","2,974","10,424",Yes,38,Yes,44,15,"125,457",129,"21,582","3,726",7,2,18,20,213,-1,Annual Estimate Based on Typical Week(s),"9,620",Annual Estimate Based on Typical Week(s),No,$0.00 ,$0.00 ,$0.00 ,"86,656","17,869","6,884","4,255","4,013",644,577,0,"15,612","6,052","15,612","21,664",,"37,276","123,932",No,397,"21,901",374,"21,189",343,148,195,"19,123","8,924","10,199",31,26,5,"2,066","1,442",624,2,2,0,105,105,0,21,21,0,607,607,0,0,0,0,0,0,0,5,109,147,"8,090",Yes,"4,674",Annual Count,"12,096","8,788",Annual Estimate Based on Typical Week(s),11,Sierra (Innovative),33,"1,275",DIY craft programs that can be completed with an instruction sheet and supplies.,CA0102,21-22
RIVERSIDE COUNTY LIBRARY SYSTEM,Riverside,County Library with Dedicated Tax,"County or Equivalent, remainder excluding AEs of contained geographies",Member of a Federation or Cooperative,County/Parish,Inland Library System,5840 MISSION BLVD,JURUPA VALLEY,92509,3650,(951) 274-4512,N/A,http://www.rivlib.net,"7,017.00",Yes,Yes,Yes,Yes,Yes,No,Yes,No,"1,372,743","319,373","45,092",0,35,0,35,0,"428,168","$21,909,039 ","$12,964,069 ","$291,074 ",$0 ,"$35,164,182 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$276,600 ","$119,827 ","$396,427 ","$1,158,916 ","$6,220 ","$1,165,136 ","$689,500 ","$232,279 ","$2,086,915 ","$31,557,224 ","$34,040,566 ","$325,088 ",326,32,50,141.85,191.85,"6,360","35,913.00","483,783","84,089","1,066,763","48,904","137,505",Yes,163,Yes,182,"2,049","1,255,221",32,"202,601","13,429","26,509",16,21,37,"67,177","1,540,701",Annual Count,"392,726",Annual Count,Yes,$0.25 ,$0.25 ,$0.10 ,"2,487,738","1,638,030","56,034","50,675","32,739",107,232,"1,944","301,190","16,360","90,975","107,335","2,788,928","408,525","2,896,263",No,"6,837","144,987","3,316","93,321","1,699","1,581",118,"38,233","33,017","5,216","1,617","1,491",126,"55,088","48,665","6,423",736,645,91,"5,803","5,454",349,"2,064","1,872",192,"20,181","19,277",904,721,721,0,"25,682","25,682",0,543,"35,222",574,"42,227",Yes,"132,537",Annual Count,"511,378","371,750",Annual Count,796,Polaris (Innovative),"1,344","24,765","Age appropriate, pre-cut crafts (which may include tissue paper, construction paper, pipe cleaners, googly eyes, etc.) along with all supplies needed for the specific craft placed in a baggie to be taken.",CA0199,21-22
RIVERSIDE PUBLIC LIBRARY,Riverside,Municipal Library,"Place (e.g., incorporated city or village, censusdesignated), entirety",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Inland Library System,3900 MISSION INN AVE.,RIVERSIDE,92501,3377,(951) 826-5213,(951) 826-5201,http://www.riversideca.gov/library/,86,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"317,847","340,945","39,296",1,7,0,8,0,"116,576","$7,351,215 ","$145,394 ","$1,531,500 ","$460,788 ","$9,488,897 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$3,129,111 ","$1,231,071 ","$4,360,182 ","$140,000 ","$26,434 ","$166,434 ","$188,551 ","$37,268 ","$392,253 ","$2,598,779 ","$7,351,214 ",$0 ,59.2,8,8,52,60,51,"1,033.00","115,646","11,871","243,262","8,792","16,005",Yes,256,Yes,134,"1,773","269,832",5,"120,862","10,262","8,281",9,20,29,"20,073","243,489",Annual Count,"33,222",Annual Count,Yes,$0.25 ,$0.25 ,$0.10 ,"534,906","344,143","21,772",0,1,469,583,"15,856","124,795","2,732","45,698","48,430","659,701","173,225","708,131",Yes,716,"18,246",381,"10,069",246,246,0,"6,559","6,559",0,135,135,0,"3,510","3,510",0,47,40,7,455,447,8,33,28,5,320,300,20,255,249,6,"7,402","7,362",40,2,19,102,"35,500",Yes,"1,966",Annual Count,"3,772,951",-1,Annual Count,316,Polaris (Innovative),3,272,"passive programs, patrons follow instructions such as crafts kits. ",CA0103,21-22
ROSEVILLE PUBLIC LIBRARY,Placer,Municipal Library,"Place (e.g., incorporated city or village, censusdesignated), entirety",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",NorthNet Library System,225 TAYLOR ST.,ROSEVILLE,95678,2681,(916) 774-5221,(916) 774-5221,http://www.roseville.ca.us/library,31,No,No,No,No,No,No,No,No,"151,034","113,166","19,492",1,2,0,3,0,"54,300","$3,410,193 ","$40,031 ",$678 ,"$137,876 ","$3,588,778 ","$837,553 ",$0 ,$0 ,$0 ,"$837,553 ","$1,742,588 ","$817,063 ","$2,559,651 ","$186,401 ",$0 ,"$186,401 ","$116,408 ","$73,624 ","$376,433 ","$652,694 ","$3,588,778 ",$0 ,69.5,3.5,6.25,21.25,27.5,0,0,"67,071","11,293","152,544","5,673","11,013",Yes,0,No,0,2,"169,232",,"70,205","24,156","29,583",8,17,25,"6,752","296,886",Annual Count,"18,804",Annual Count,Yes,$0.25 ,$0.25 ,$0.25 ,"978,612","488,595","4,093",48,99,0,0,5,"173,872","8,378","22,493","30,871","1,152,484","204,743","1,183,355",Yes,332,"14,561",270,"13,411",231,231,0,"11,351","11,351",0,39,38,1,"2,060","1,989",71,1,1,0,23,23,0,51,51,0,406,406,0,10,10,0,721,721,0,56,"5,467",0,0,Yes,"22,872",Annual Count,"1,058,550","8,717",Annual Count,99,Other (please list),54,"1,951",Create @ the library is a self-directed STEAM program for school age children or younger with guardian assistance. The program is held at each of the library outlets for at least one week each month. There are additional self-directed STEAM programs on a weekly basis in the summertime for various age groups.,CA0104,21-22
SACRAMENTO PUBLIC LIBRARY,Sacramento,Joint Powers Authority,"County or Equivalent, remainder excluding AEs of contained geographies",Member of a Federation or Cooperative,Multi-jurisdictional,NorthNet Library System,828 I ST.,SACRAMENTO,95814,2508,(916) 264-2965,(916) 264-2920,http://www.saclibrary.org,975,Yes,Yes,Yes,Yes,Yes,No,No,Yes,"1,492,026","699,101","266,908",1,27,2,30,0,"458,399","$51,923,343 ","$249,004 ","$103,600 ","$1,933,216 ","$54,209,163 ",$0 ,"$23,500 ",$0 ,$0 ,"$23,500 ","$22,108,129 ","$5,950,067 ","$28,058,196 ","$2,262,277 ","$90,085 ","$2,352,362 ","$4,344,205 ","$59,289 ","$6,755,856 ","$19,763,567 ","$54,577,619 ","$659,184 ",304,62,62,246,308,699,"39,857.78","456,966","90,625","1,146,526","25,022","101,096",Yes,166,Yes,438,"4,306","1,276,950","1,117","260,074","270,035","9,165",46,21,67,"49,566","1,148,709",Annual Count,"2,039",Annual Count,No,$0.00 ,$0.00 ,$0.00 ,"3,965,821","2,174,004","49,001","193,564","118,873","1,492","3,546","4,235","3,294,730","83,458","3,256,567","3,340,025","7,260,551","6,634,755","10,600,576",Yes,"2,706","58,008","2,048","47,946",390,255,135,"12,104","9,022","3,082","1,658","1,346",312,"35,842","28,046","7,796",162,43,119,"1,568",525,"1,043",423,76,347,"5,989",335,"5,654",73,69,4,"2,505","2,334",171,"1,084","27,521",425,"14,034",Yes,"145,791",Annual Count,"4,017,743",-1,,781,Sierra (Innovative),"2,539","15,105","Take and Make kits, Crafts, Literacy, Seed Library, Latin Heritage kits",CA0105,21-22
