Location,County,Library Type,Geographic Code,Interlibrary Relationship code,Legal Basis Code,CLSA System Library,Street Address,City,Zip,Zip +4,Public Phone Number - Administration,Reference Phone Number,Library's Web Address,ILL Period # of weeks,ILL Photocopy free up to 10 pages?,Copy Fee,Size Square Mile,Population of The Legal Service Area,Population of Children Ages Under 5,Population of Children Ages 5-14,Population Age 0-14,Population Over 14 Years,Registered Users as of June 30,Children Borrowers,# of Central Libraries,# of Branch Libraries,# of Bookmobiles,# of Stations,Total # of Outlets,Total # of Service Points,Library Visits,"Hours Open, All Outlets",FTE Volunteers,Total persons employed,FTE Special Professionals,# of Librarian FTEs,FTE All other paid staff,FTE Other,FTE Library Technical Assistants,# of ALA MLS Librarian FTEs,Staff FTE,Total Operating Income,Local Government Income,State Income,Federal Income,Capital Outlay Income from Local Sources,Capital Outlay Income from State  Sources,Capital Outlay Income from Federal Sources,Capital Outlay Income from Other Sources,Total Capital Outlay Income,Other Operating Income,Literacy Income,Total Operating Expenditures,Total Collection Expenditures,Print Materials Expenditures,Print Serial Subscription Expenditures,Electronic Materials Expenditures,Other Materials Expenditures,Total Print Materials Expenditures,Salary & Wages Expenditures,Employee Benefits Expenditures,Total Staff Expenditures,Total Capital Expenditures,All Other Operating Expenditures,Operating Expenditures on Preservation,Expenditures on Children's Materials,Expenditures on Adult Literacy Programs,Books Children Held,Books Young Adult Held,Government Documents,Children's Audio Materials,# of Physical Audio Materials in Collection,Children's Video Materials,# of Physical Video Materials in Collection,# of Current Serial Subscriptions,Book Titles Added,# of Electronic Books in Collection,# of Electronic Collections in Collection,# of Electronic Collections through State Funding in Collection,Total Print Materials Held,# of Downloadable Audio Materials in Collection,# of Downloadable Video Materials in Collection,# of Electronic Collections through Local and Other Funding in Collection,Children's Books Added,Books Added,Library Materials in Electronic Format,Number of Adult Books Held,Total Print Materials Held,Total Collection,Physical Item Circulation,Circulation of Childrens Materials,Circulation of Non English Materials,Circulation of Electronic Materials,Successful Retrieval of Electronic Information,Electronic Content Use,Total Circulation,Total Collection Use,ILL loans to others,ILL loans received,Reference Questions,Total # of Programs,# of Children's Programs,# of Young Adult Programs,Young Adult Program Attendance,Children's Program Attendance,Total Program Attendance,# of Pre School Programs,Pre-School Program Attendance,# of School Aged Programs,School Aged Program Attendance,# of Adult Programs,Adult Program Attendance,Beginning Salary for Director,Final Salary for Director,Beginning Salary for Assistant Director,Final Salary for Assistant Director,Beginning Salary for Chief Library Division,Final Salary for Chief Library Division,Beginning Salary for Branch Librarian,Final Salary for Branch Librarian,Beginning Salary for Entry Level Librarian,Final Salary for Entry Level Librarian,Beginning Salary for Journeyman Librarian,Final Salary for Journeyman Librarian,Beginning Salary for Library Tech Assistant,Final Salary for Library Tech Assistant,Beginning Salary for Manager of Special Library Service (non-MLS),Final Salary for Manager of Special Library Service (non-MLS),Beginning Salary for Clerk,Final Salary for Clerk,Library Utilizes CA Teleconnect Fund,Library Utilizes the E-Rate Program,CIPA Compliant,Annual Uses of Public Internet Computers,# of Internet Terminals,Virtual Visits to the library website,Library use RFID,FSCS ID,Fiscal Year
POMONA PUBLIC LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,625 S. GAREY AVE.,POMONA,91766,3322,9096202473,(909) 620-2043,http://www.pomonalibrary.org,3,Yes,,23,"155,687",,,,"155,687","56,014","12,883",1,0,0,0,1,1,"92,709","1,508",2,20,2.45,2,10.45,6.5,1.5,2,12.45,"$967,343 ","$967,343 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$926,355 ","$63,941 ","$50,475 ","$3,316 ","$6,203 ","$3,947 ","$53,791 ","$476,132 ","$13,565 ","$489,697 ",$0 ,"$372,717 ",$0 ,"$14,040 ",$0 ,"49,700","5,857",,577,"9,738",442,442,58,"3,734",0,0,0,"280,948",0,0,0,"2,249","3,815",0,"225,391","280,948","291,186","69,387","47,088","6,809",0,,0,"69,387","69,387",0,0,"12,981",59,58,0,0,"2,858","2,958",42,788,16,"2,070",1,100,"$9,129 ","$12,333 ","$6,951 ","$8,447 ","$6,296 ","$7,650 ",,,"$4,240 ","$5,155 ","$4,680 ","$5,417 ","$3,657 ","$4,444 ","$6,951 ","$8,447 ","$3,001 ","$3,648 ",No,No,Yes,"54,889",42,,No,CA0098,17-18
PORTERVILLE PUBLIC LIBRARY,Tulare,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",San Joaquin Valley Library System,41 WEST THURMAN AVENUE,PORTERVILLE,93257,3652,5597840177,(559) 784-0177,http://www.portervillelibrary.org,6,Yes,,12,"60,798","5,511","10,922","16,433","44,365","20,723","4,658",1,0,0,1,1,2,"173,204","4,168",4.14,26,2,1,15.33,6.33,7,0,16.33,"$1,324,430 ","$1,299,785 ","$24,645 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$24,645 ","$1,256,363 ","$120,641 ","$71,355 ","$3,945 ","$13,026 ","$32,315 ","$75,300 ","$634,905 ","$300,582 ","$935,487 ",$0 ,"$200,235 ",$0 ,"$40,250 ","$23,526 ","40,545","3,409",0,126,"4,654","1,583","7,892",63,"5,031","125,315",38,0,"67,890","7,346",268,38,"3,125","5,898","125,315","23,936","67,890","205,852","231,831","121,896","34,275","2,013","1,613","3,626","233,844","235,457","21,720","17,076","6,604","1,041",610,72,"1,722","19,057","25,655",117,"4,154",493,"14,903",359,"4,876",,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,"38,414",42,"86,786",Yes,CA0099,17-18
RANCHO CUCAMONGA PUBLIC LIBRARY,San Bernardino,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Inland Library System,7368 ARCHIBALD AVENUE,RANCHO CUCAMONGA,91730,1401,9094772720,(909) 477-2720,http://www.rcpl.lib.ca.us/,4,Yes,,38,"176,671","10,115","31,586","41,701","134,970","307,175","80,219",0,2,1,0,3,3,"531,966","6,230",5,82,1,15,67,61,5,13,82,"$5,021,280 ","$4,209,860 ","$71,950 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$739,470 ","$23,200 ","$4,628,560 ","$584,770 ","$350,000 ","$22,000 ","$152,770 ","$60,000 ","$372,000 ","$2,612,850 ","$882,410 ","$3,495,260 ","$206,001 ","$548,530 ",$0 ,"$183,000 ","$4,575 ","114,042","12,835",0,"3,685","14,258","4,115","13,118",328,,"81,649",58,0,"212,015","4,000",253,58,"11,904","25,537","81,649","85,138","212,015","321,426","856,959","576,640","14,072","41,246","937,293","978,539","898,205","1,835,498",0,49,"156,331","1,298","1,077",21,246,"33,502","40,775",992,"27,776",85,"5,726",200,"7,027","$9,433 ","$13,374 ","$7,765 ","$10,474 ","$5,589 ","$7,537 ","$4,624 ","$6,236 ","$3,922 ","$5,290 ","$4,377 ","$5,904 ","$3,180 ","$4,290 ","$3,532 ","$4,764 ","$2,645 ","$3,567 ",No,Yes,Yes,"73,429",45,"368,527",Yes,CA0194,17-18
RANCHO MIRAGE PUBLIC LIBRARY,Riverside,Municipal Library,"Municipal Government (city, town or village) (most nearly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Inland Library System,71-100 HIGHWAY 111,RANCHO MIRAGE,92270,4123,7603417323,(760) 341-7323,http://www.ranchomiragelibrary.org,6,Yes,,25,"18,738",,,,"18,738","39,094","3,911",1,0,0,0,1,1,"263,889","2,865",7,42,1,7,13,5,7,7,20,"$3,018,224 ","$2,938,224 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$80,000 ",$0 ,"$2,848,525 ","$247,187 ","$111,000 ","$14,187 ","$92,000 ","$30,000 ","$125,187 ","$1,493,128 ","$573,917 ","$2,067,045 ",$0 ,"$534,293 ",$0 ,"$20,000 ",$0 ,"18,335","27,758",0,535,"5,782","2,178","13,101",107,,"4,775",11,0,"91,179","9,144",0,11,"1,900","9,402","4,775","45,086","91,179","114,955","367,906","68,122",363,"43,484",,"43,484","411,390","411,390",154,43,"52,893","1,155",494,7,74,"17,235","40,202",192,"3,840",302,"13,395",654,"22,893","$12,999 ","$13,544 ","$7,242 ","$7,351 ","$6,163 ","$6,297 ",,,"$4,874 ","$5,931 ",,,,,,,"$2,880 ","$3,600 ",Yes,Yes,No,"27,652",32,,Yes,CA0196,17-18
REDONDO BEACH PUBLIC LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,303 N. PACIFIC COAST HWY,REDONDO BEACH,90277,2838,3103180676,(310) 318-0675,http://redondo.org/library,4,No,$0.15 ,7,"68,677","4,412","7,916","12,328","56,349","54,759","8,479",1,1,0,0,2,2,"308,542","4,744",0.3,57,2,10,17,15,0,10,27,"$4,532,781 ","$4,459,616 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$73,165 ",$0 ,"$4,730,695 ","$271,079 ","$113,023 ","$12,831 ","$103,040 ","$42,185 ","$125,854 ","$1,638,397 ","$467,769 ","$2,106,166 ",$0 ,"$2,353,450 ",$0 ,"$42,510 ",$0 ,"61,401","8,483",0,"1,735","22,458","2,913","19,850",210,"3,925","340,975",13,0,"182,480","83,872","16,153",13,"2,868","6,085","340,975","112,596","182,480","565,986","429,216","192,970","9,857","50,359","10,854","61,213","479,575","490,429",105,21,"32,475",449,299,25,390,"11,583","14,456",281,"10,577",18,"1,006",125,"2,483","$9,042 ","$12,788 ",,,,,"$5,776 ","$7,452 ",,,"$5,069 ","$6,546 ","$3,735 ","$4,256 ","$4,992 ","$6,076 ","$3,394 ","$3,871 ",No,No,No,"22,356",22,"87,604",No,CA0100,17-18
REDWOOD CITY PUBLIC LIBRARY,San Mateo,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,1044 MIDDLEFIELD RD,REDWOOD CITY,94063,1868,6507807061,(650) 780-7018,http://www.redwoodcity.org/library,3,No,,34,"86,380","7,061","13,104","20,165","66,215","67,705","14,982",1,2,0,1,3,4,"754,728","10,636",37.13,100,8.55,13.05,36.84,16.76,11.53,10.53,49.89,"$9,097,966 ","$8,504,080 ","$170,133 ",$0 ,"$100,000 ",$0 ,$0 ,$0 ,"$100,000 ","$423,753 ","$170,133 ","$8,967,302 ","$592,838 ","$340,141 ","$31,185 ","$89,161 ","$132,351 ","$371,326 ","$4,377,213 ","$1,841,168 ","$6,218,381 ","$115,103 ","$2,156,083 ",$0 ,"$184,060 ","$1,356,900 ","101,505","10,431",706,"2,577","15,023","8,523","27,201",260,"12,934","326,309",31,0,"195,730","11,180","3,619",31,"11,396","19,031","326,309","83,794","196,436","565,260","900,006","520,459","34,408","104,711","138,899","243,610","1,004,717","1,143,616","90,266","87,804","163,605","7,353","5,614",388,"6,728","199,789","232,359","3,476","64,128","2,138","135,661","1,351","25,842","$13,074 ","$17,650 ",,,"$10,188 ","$12,223 ","$8,865 ","$10,637 ","$5,876 ","$7,143 ","$6,460 ","$7,856 ","$5,351 ","$6,504 ","$10,188 ","$12,223 ","$4,870 ","$5,915 ",Yes,Yes,No,"68,508",206,"112,736",Yes,CA0101,17-18
RICHMOND PUBLIC LIBRARY,Contra Costa,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,325 CIVIC CENTER PLAZA,RICHMOND,94804,1659,5106206555,(510) 620-6561,http://www.richmondlibrary.org,4,Yes,,55,"110,967","6,714","15,379","22,093","88,874","85,955","26,190",1,2,1,0,4,4,,"4,423",2.5,63,2,10,32,27,3,10,42,"$5,027,499 ","$4,551,102 ","$105,956 ","$54,160 ","$187,384 ",$0 ,$0 ,$0 ,"$187,384 ","$316,281 ","$105,956 ","$5,006,537 ","$375,840 ","$265,199 ","$10,700 ","$46,800 ","$53,141 ","$275,899 ","$2,429,211 ","$1,574,407 ","$4,003,618 ",$0 ,"$627,079 ",$0 ,"$94,636 ","$1,022,564 ","64,171","7,217",0,785,"4,055",785,"12,567",182,"10,420","5,268",2,0,"147,265","1,354",0,2,"6,316","13,309","5,268","75,877","147,265","169,339","176,670","94,695","11,566","10,236","4,247","14,483","186,906","191,153","6,119","4,383","7,701",712,634,25,"1,463","13,493","15,426",309,"8,495",325,"4,998",53,470,"$9,945 ","$15,830 ",$0 ,$0 ,"$7,158 ","$8,657 ","$5,543 ","$6,628 ","$5,077 ","$6,047 ","$5,543 ","$6,628 ","$4,470 ","$5,434 ","$6,670 ","$8,056 ","$3,612 ","$4,829 ",Yes,Yes,Yes,"45,571",47,"20,775",No,CA0102,17-18
RIVERSIDE COUNTY LIBRARY SYSTEM,Riverside,County Library with Dedicated Tax,County/Parish (most nearly),Member of a Federation or Cooperative,County/Parish,Inland Library System,5840 MISSION BLVD,JURUPA VALLEY,92509,3650,9512744512,N/A,http://www.rivlib.net,4,No,,"7,017.00","1,327,677","91,252","202,021","293,273","1,034,404","665,128","66,390",0,35,2,4,37,41,"3,188,422","70,499",23.82,361,14.8,52.35,184.85,125.9,44.15,38.2,237.2,"$25,880,835 ","$16,630,108 ","$8,572,054 ","$161,835 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$516,838 ","$25,830 ","$23,929,878 ","$944,358 ","$578,420 ","$35,080 ","$330,858 ",$0 ,"$613,500 ",$0 ,$0 ,$0 ,"$5,801 ","$22,985,520 ",$0 ,"$223,919 ","$87,698 ","317,950","55,993",,"6,690","45,266","13,605","70,750",742,"18,601","6,507",21,0,"1,042,918","8,433",0,21,"23,352","52,520","6,507","668,975","1,042,918","1,166,204","2,389,611","1,157,174","56,635","526,163","767,208","1,293,371","2,915,774","3,682,982","88,866","126,622","499,590","6,417","2,785",849,"7,348","58,880","91,787","1,776","44,059","1,009","14,821","2,783","25,559",,,,,"$5,000 ","$67,000 ","$3,700 ","$5,000 ","$3,700 ","$5,000 ",,,"$2,254 ","$3,300 ",,,,,Yes,Yes,Yes,"386,265",607,"2,414,547",Yes,CA0199,17-18
RIVERSIDE PUBLIC LIBRARY,Riverside,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Inland Library System,3581 MISSION INN AVE.,RIVERSIDE,92501,3377,9518265213,(951) 826-5201,http://www.riversideca.gov/library/,4,No," $.10 B/W, $.25 Color",86,"325,860","1,866","36,017","37,883","287,977","310,520","24,957",1,7,1,0,9,9,"789,942","20,202",5,62,3,7,50.25,37.25,10,7,57.25,"$7,490,222 ","$6,904,907 ","$81,458 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$503,857 ","$25,409 ","$7,423,405 ","$223,110 ","$129,016 ","$29,746 ","$47,999 ","$16,349 ","$158,762 ","$3,258,542 ","$1,460,992 ","$4,719,534 ",$0 ,"$2,480,761 ",$0 ,"$67,612 ","$23,370 ","130,548","18,678",,"1,660","14,174","4,796","26,338",227,"5,660","85,161",1,0,"337,025",953,0,1,"5,815","11,814","85,161","187,799","337,025","462,926","814,583","409,285","15,883","23,718",,"23,718","838,301","838,301",0,267,"169,580","1,893","1,301",225,"1,599","37,475","41,812",568,"24,605",733,"12,870",367,"2,738","$10,166 ","$14,609 ","$8,815 ","$12,321 ",$0 ,$0 ,"$4,592 ","$6,460 ","$4,428 ","$6,232 ","$4,016 ","$4,884 ","$3,433 ","$4,175 ","$6,795 ","$10,474 ",$0 ,$0 ,No,Yes,Yes,"241,719",308,"1,443,661",Yes,CA0103,17-18
ROSEVILLE PUBLIC LIBRARY,Placer,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",NorthNet Library System,225 TAYLOR ST.,ROSEVILLE,95678,2681,9167745234,(916) 774-5221,http://www.roseville.ca.us/library,6,Yes,,31,"137,213","8,096","19,073","27,169","110,044","107,155","16,428",1,2,0,0,3,3,"436,152","6,314",2.03,80,1,12.75,25.53,19.53,5,7.75,38.28,"$4,847,182 ","$4,646,143 ","$30,523 ",$0 ,"$411,643 ",$0 ,$0 ,$0 ,"$411,643 ","$170,516 ","$30,523 ","$4,847,182 ","$242,159 ","$136,910 ","$6,685 ","$68,451 ","$30,113 ","$143,595 ","$2,016,085 ","$969,151 ","$2,985,236 ","$41,603 ","$1,619,787 ",$0 ,"$46,369 ","$87,930 ","66,290","11,175",0,"2,215","8,852","2,728","9,931",71,"8,982","15,769",15,0,"146,323","6,993",0,15,"6,161","13,055","15,769","68,858","146,323","180,961","1,166,556","453,550","5,139","54,545","25,605","80,150","1,221,101","1,246,706",51,39,"28,009","1,164",915,24,211,"30,036","32,295",473,"25,261",442,"4,775",225,"2,048","$7,680 ","$10,293 ",,,"$5,678 ","$7,609 ","$4,378 ","$6,160 ","$3,980 ","$5,600 ",,,"$3,569 ","$5,022 ",,,"$2,841 ","$4,397 ",No,No,Yes,"55,884",99,"1,453,597",Yes,CA0104,17-18
SACRAMENTO PUBLIC LIBRARY,Sacramento,Joint Powers Authority,County/Parish (most nearly),Member of a Federation or Cooperative,Multi-jurisdictional,NorthNet Library System,828 I ST.,SACRAMENTO,95814,2508,(916) 264-2965,(916) 264-2920,http://www.saclibrary.org,4,Yes,,975,"1,451,054","99,086","201,330","300,416","1,150,638","706,452","168,857",1,27,2,0,30,30,"3,667,015","51,889",32,286,7,90.5,195.5,188.5,0,79.5,286,"$43,667,980 ","$40,062,763 ","$58,770 ","$469,917 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$3,076,530 ","$58,770 ","$46,239,406 ","$5,108,534 ","$2,100,228 ","$173,905 ","$2,389,821 ","$444,580 ","$2,274,133 ","$20,489,653 ","$6,140,893 ","$26,630,546 ",$0 ,"$14,500,326 ",$0 ,"$725,647 ","$314,552 ","408,726","68,788","24,317","8,565","55,788","17,933","93,245","1,801","27,220","110,223",41,0,"1,074,008","47,995","2,718",41,"81,435","169,444","110,223","596,494","1,098,325","1,359,423","6,015,432","2,689,874","102,906","1,555,387","2,300,937","3,856,324","7,570,819","9,871,756","141,231","102,948","133,212","8,309","4,950","1,106","19,216","172,131","223,314","2,120","87,544","2,830","84,587","2,253","31,967","$14,994 ","$14,994 ","$7,097 ","$12,319 ","$7,097 ","$12,319 ","$5,784 ","$7,751 ","$4,793 ","$6,424 ","$5,784 ","$7,751 ",$0 ,$0 ,"$9,058 ","$9,058 ","$2,978 ","$3,990 ",Yes,Yes,Yes,"506,031",763,"8,300,786",Yes,CA0105,17-18
SALINAS PUBLIC LIBRARY,Monterey,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,350 LINCOLN AVE.,SALINAS,93901,2692,8317587458,(831) 758-7311,http://www.salinaspubliclibrary.org,0,No,,19,"161,784","14,560","49,829","64,389","97,395","58,758","23,198",1,2,1,0,4,4,"392,339","7,873",3.45,90,1,15,28.5,21.5,6,10,43.5,"$5,586,899 ","$5,244,233 ","$223,705 ",$0 ,"$1,042,268 ",$0 ,$0 ,$0 ,"$1,042,268 ","$118,961 ","$80,806 ","$4,846,985 ","$332,056 ","$133,995 ","$15,224 ","$135,528 ","$47,309 ","$149,219 ","$2,391,720 ","$1,550,940 ","$3,942,660 ","$2,719,892 ","$572,269 ","$3,874 ","$69,388 ","$80,806 ","73,809","9,088",0,"1,036","6,860","4,532","13,525",162,"5,579","352,546",12,0,"170,829","358,148","33,509",12,"11,749","18,295","352,546","87,932","170,829","543,934","286,372","172,254","38,228","11,749","14,677","26,426","298,121","312,798",0,0,"34,095","1,475","1,263",132,723,"24,701","25,990",431,"7,151",832,"17,550",80,566,"$10,984 ","$13,352 ","$6,550 ","$8,360 ","$5,969 ","$7,620 ","$4,411 ","$5,629 ","$4,100 ","$5,232 ",$0 ,$0 ,"$3,593 ","$4,586 ","$5,941 ","$7,583 ","$2,871 ","$3,665 ",No,Yes,Yes,"95,437",124,"166,852",Yes,CA0106,17-18
SAN ANSELMO PUBLIC LIBRARY,Marin,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",NorthNet Library System,110 TUNSTEAD AVE.,SAN ANSELMO,94960,2617,4152584656,(415) 258-4656,http://sananselmolibrary.org,3,No,0.2,3,"13,000",725,"2,194","2,919","10,081","7,528","1,357",1,0,0,0,1,1,"90,843","2,571",1,6,0,3,3,3,0,3,6,"$903,721 ","$881,657 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$22,064 ",$0 ,"$940,622 ","$116,386 ","$75,386 ","$8,000 ","$27,000 ","$6,000 ","$83,386 ","$488,394 ","$155,389 ","$643,783 ",$0 ,"$180,453 ",$500 ,"$20,114 ",$0 ,"18,536","1,032",0,601,"2,163",696,"2,719",103,"2,025","291,909",27,0,"41,246","316,307","13,776",27,"1,784","3,268","291,909","21,678","41,246","338,167","120,373","64,099",840,"14,512","19,928","34,440","134,885","154,813","39,268","21,318","34,866",390,259,19,261,"15,377","17,074",170,"11,323",89,"4,054",112,"1,436","$10,628 ","$10,628 ",,,,,,,"$4,783 ","$5,814 ","$5,356 ","$6,508 ","$4,001 ","$4,864 ",$0 ,$0 ,"$3,721 ","$4,523 ",No,No,No,"12,072",4,"14,655",No,CA0107,17-18
SAN BENITO COUNTY FREE LIBRARY,San Benito,County Library General Fund,County/Parish (most nearly),Member of a Federation or Cooperative,County/Parish,Pacific Library Partnership,470 FIFTH ST.,HOLLISTER,95023,3885,8316364097,(831) 636-4107,www.sbcfl.org,4,Yes,,"1,396.00","55,215","5,600","8,500","14,100","41,115","32,973","15,900",1,0,1,0,2,2,"98,199","2,859",1.75,14,0,3,6.18,3.68,2.5,2,9.18,"$998,201 ","$884,706 ","$22,175 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$91,320 ","$22,175 ","$998,201 ","$111,522 ","$81,475 ","$3,655 ","$16,878 ","$9,514 ","$85,130 ","$463,678 ","$177,827 ","$641,505 ",$0 ,"$245,174 ",$550 ,"$52,959 ","$36,413 ","33,077","5,268",385,821,970,"1,278","4,795",21,"4,411","43,132",30,0,"94,850","4,132",0,30,"4,271","6,932","43,132","56,505","95,235","144,183","135,046","61,273","6,300","1,131","9,028","10,159","136,177","145,205",271,216,"6,648",660,562,8,105,"14,678","15,533",360,"7,119",202,"7,559",90,750,"$9,178 ","$9,454 ",,,,,,,"$3,460 ","$3,564 ","$4,927 ","$5,075 ","$4,153 ","$4,278 ",,,"$3,550 ","$3,657 ",Yes,Yes,No,"28,633",25,"95,905",Yes,CA0108,17-18
SAN BERNARDINO COUNTY LIBRARY,San Bernardino,County Library with Dedicated Tax,County/Parish (most nearly),Member of a Federation or Cooperative,County/Parish,Inland Library System,777 EAST RIALTO AVE,SAN BERNARDINO,92415,35,9093872220,(909) 790-3146,www.sbclib.org,3,No,,"20,000.00","1,237,910",,,,"1,237,910","655,673","117,520",0,32,0,0,32,32,"2,809,624","66,778",30,317,2,25,118,42,74,5,143,"$16,642,050 ","$15,325,000 ","$100,793 ","$9,249 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$1,207,008 ",$0 ,"$17,524,717 ","$2,608,824 ","$1,961,696 ","$35,000 ","$612,128 ",$0 ,"$1,996,696 ","$6,234,571 ","$1,573,263 ","$7,807,834 ",$0 ,"$7,108,059 ",$0 ,$0 ,"$117,781 ","584,425","120,845",72,"5,736","42,375","19,101","91,854",836,"102,321","45,075",27,0,"1,254,876","13,098","3,306",27,"128,686","168,923","45,075","549,606","1,254,948","1,435,115","5,154,897","3,435,509","64,499","412,205",,"412,205","5,567,102","5,567,102","17,641","21,204",,"7,225","5,068",292,"8,946","225,730","260,576","2,018","67,442","3,050","158,288","1,865","25,900","$9,689 ","$13,161 ",$0 ,$0 ,"$5,631 ","$7,748 ","$4,201 ","$5,770 ","$3,721 ","$5,115 ",$0 ,$0 ,"$2,343 ","$3,213 ",$0 ,$0 ,"$1,918 ","$2,123 ",Yes,Yes,Yes,"583,785",795,"1,535,488",Yes,CA0109,17-18
SAN BERNARDINO PUBLIC LIBRARY,San Bernardino,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Inland Library System,555 W. SIXTH ST.,SAN BERNARDINO,92410,3094,9093818215,(909) 381-8221,http://www.sbpl.org,6,Yes,,58,"221,130","18,413","35,942","54,355","166,775","42,105","7,016",1,3,0,0,4,4,"251,880","5,044",3,33,4,4,16.8,6.8,6,4,20.8,"$1,908,708 ","$1,657,911 ","$59,163 ","$78,634 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$113,000 ","$59,163 ","$1,908,708 ","$132,000 ","$82,000 ","$14,000 ","$36,000 ",$0 ,"$96,000 ","$1,025,765 ","$343,690 ","$1,369,455 ",$0 ,"$407,253 ",$0 ,"$19,000 ","$125,007 ","64,456","5,285",538,186,"1,283","1,767","12,730",188,"4,562","105,630",8,0,"197,697",640,0,8,"1,848","6,542","105,630","127,956","198,235","318,074","101,832","38,467","5,734","4,394","19,155","23,549","106,226","125,381",89,6,"51,366",437,350,16,136,"8,433","9,949",244,"5,117",106,"3,316",71,"1,380","$10,074 ","$12,244 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$4,315 ","$5,245 ",$0 ,$0 ,"$4,315 ","$5,243 ",$0 ,$0 ,Yes,Yes,Yes,"60,395",62,"5,300",No,CA0110,17-18
SAN BRUNO PUBLIC LIBRARY,San Mateo,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,701 ANGUS AVE. W.,SAN BRUNO,94066,3490,6506167078,-1,http://www.sanbrunolibrary.org,6,Yes,,6,"46,085","2,420","5,161","7,581","38,504","21,764","4,332",1,0,0,0,1,1,"190,466","2,752",26,20,0,5,2.5,0,2.5,5,7.5,"$2,388,717 ","$2,307,681 ","$12,501 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$68,535 ",$0 ,"$2,285,969 ","$190,207 ","$110,560 ","$10,352 ","$36,415 ","$32,880 ","$120,912 ","$915,086 ","$416,655 ","$1,331,741 ",$0 ,"$764,021 ",$0 ,"$37,389 ","$3,000 ","29,222","2,301",130,"1,128","7,916","3,053","12,321",160,"3,849","118,221",17,0,"73,735","13,587",0,17,"3,041","6,890","118,221","42,212","73,865","212,500","334,711","93,472","5,049","19,244","23,886","43,130","353,955","377,841","64,370","26,748","24,710",487,449,4,69,"13,184","13,425",242,"7,982",207,"5,202",34,172,"$13,722 ","$16,839 ","$9,211 ","$11,304 ","$8,432 ","$10,347 ",,,"$5,194 ","$6,374 ","$5,972 ","$7,328 ","$3,952 ","$5,578 ","$5,227 ","$6,414 ",,,Yes,No,Yes,"19,494",17,"51,466",Yes,CA0111,17-18
