Location,County,Library Type,Geographic Code,Interlibrary Relationship code,Legal Basis Code,CLSA System Library,Street Address,City,Zip,Zip +4,Public Phone Number - Administration,Reference Phone Number,Library's Web Address,Size Square Mile,Population of The Legal Service Area,Registered Users as of June 30,Children Borrowers,# of Central Libraries,# of Branch Libraries,# of Bookmobiles,Total # of Outlets,Total Square Footage,Local Government Income,State Income,Federal Income,Other Operating Income,Total Operating Income,Literacy Income,Capital Outlay Income from Local Sources,Capital Outlay Income from State  Sources,Capital Outlay Income from Federal Sources,Capital Outlay Income from Other Sources,Total Capital Outlay Income,Salary & Wages Expenditures,Employee Benefits Expenditures,Total Staff Expenditures,Print Materials Expenditures,Print Serial Subscription Expenditures,Total Print Materials Expenditures,Electronic Materials Expenditures,Other Materials Expenditures,Total Collection Expenditures,All Other Operating Expenditures,Total Operating Expenditures,Total Capital Expenditures,Total persons employed,# of ALA MLS Librarian FTEs,# of Librarian FTEs,FTE All other paid staff,Staff FTE,FTE Volunteers,Books Children Held,Books Young Adult Held,Total Print Materials Held,# of Electronic Books in Collection,# of Physical Audio Materials in Collection,# of Downloadable Audio Materials in Collection,# of Physical Video Materials in Collection,# of Downloadable Video Materials in Collection,# of Electronic Collections through Local and Other Funding in Collection,# of Electronic Collections through State Funding in Collection,# of Electronic Collections in Collection,# of Current Serial Subscriptions,"Hours Open, All Outlets",Library Visits,Reference Questions,Physical Item Circulation,Circulation of Childrens Materials,Circulation of Non English Materials,Circulation of Electronic Materials,Successful Retrieval of Electronic Information,Electronic Content Use,Total Circulation,Total Collection Use,ILL loans to others,ILL loans received,# of Children's Programs,Children's Program Attendance,# of Young Adult Programs,Young Adult Program Attendance,# of Adult Programs,Adult Program Attendance,"Of the above programs, how many were offsite?",Attendance at offsite programs,Total # of Programs,Total Program Attendance,CIPA Compliant,Annual Uses of Public Internet Computers,Virtual Visits to the library website,Wireless Sessions Per Year,# of Internet Terminals,Vulnerable populations,Personal economic development,Crisis support,Personal learning and knowledge development,Social capital,FSCS ID,Fiscal Year
RICHMOND PUBLIC LIBRARY,Contra Costa,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,325 CIVIC CENTER PLAZA,RICHMOND,94804,1659,5106206555,(510) 620-6561,http://www.richmondlibrary.org,55,"110,436","92,169","28,610",1,2,1,4,"34,972","$5,580,873 ","$178,096 ","$47,163 ","$328,979 ","$6,135,111 ","$152,810 ","$173,736 ",$0 ,$0 ,$0 ,"$173,736 ","$2,353,066 ","$1,755,098 ","$4,108,164 ","$282,042 ","$10,300 ","$292,342 ","$42,849 ","$52,770 ","$387,961 ","$632,110 ","$5,128,235 ",$0 ,56,10,10,46,56,2.5,"67,410","7,084","150,222","82,505","4,313","1,547","12,347",0,2,1,3,176,"4,423",,"7,753","162,481","53,477","9,999","11,682","4,180","15,862","174,163","178,343","5,352","4,906",633,"12,903",45,560,76,660,50,"1,336",754,"14,123",Yes,,"22,806",900,47,Yes,Yes,No,Yes,No,CA0102,18-19
RIVERSIDE COUNTY LIBRARY SYSTEM,Riverside,County Library with Dedicated Tax,County/Parish (most nearly),Member of a Federation or Cooperative,County/Parish,Inland Library System,5840 MISSION BLVD,JURUPA VALLEY,92509,3650,9512744512,N/A,http://www.rivlib.net,"7,017.00","1,339,695","406,021","64,892",0,35,2,37,"369,427","$17,733,330 ","$9,575,645 ",$0 ,"$543,225 ","$27,852,200 ","$63,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$985,349 ","$41,859 ","$1,027,208 ","$455,089 ",$0 ,"$1,482,297 ","$27,619,034 ","$29,101,331 ","$1,087,055 ",340,39,50,163,213,23.64,"511,307","78,696","1,081,092","6,624","55,571","8,374","114,936",0,23,3,26,698,"69,370","3,235,902","439,159","2,443,497","1,209,650","65,518","87,032","64,928","151,960","2,530,529","2,595,457","75,609","100,133","5,311","125,751","1,233","14,124","3,802","40,497","1,398","26,388","10,346","180,372",Yes,"385,493","2,646,124","567,219",619,Yes,Yes,Yes,Yes,Yes,CA0199,18-19
RIVERSIDE PUBLIC LIBRARY,Riverside,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Inland Library System,3581 MISSION INN AVE.,RIVERSIDE,92501,3377,9518265213,(951) 826-5201,http://www.riversideca.gov/library/,86,"328,101","322,911","27,546",1,7,1,9,"136,576","$6,830,160 ","$63,132 ","$9,743 ","$553,282 ","$7,456,317 ","$25,409 ","$37,853,683 ",$0 ,$0 ,$0 ,"$37,853,683 ","$3,292,649 ","$1,444,153 ","$4,736,802 ","$215,798 ","$29,258 ","$245,056 ","$106,039 ","$21,270 ","$372,365 ","$2,347,150 ","$7,456,317 ","$5,977,479 ",64,9,9,51,60,4.92,"131,219","17,855","323,193","109,388","12,590",843,"24,600",0,3,4,7,125,"20,448","722,264","183,085","746,281","452,841","25,736","27,984",-1,"27,983","774,265","774,264",0,99,"1,361","36,593",213,"6,330",469,"2,920",722,,"2,043","45,843",Yes,"157,250","1,474,975","595,540",308,Yes,Yes,No,Yes,Yes,CA0103,18-19
ROSEVILLE PUBLIC LIBRARY,Placer,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",NorthNet Library System,225 TAYLOR ST.,ROSEVILLE,95678,2681,9167745234,(916) 774-5221,http://www.roseville.ca.us/library,31,"139,643","112,635","23,743",1,2,0,3,"54,300","$4,697,332 ","$30,523 ",$0 ,"$201,876 ","$4,929,731 ","$30,523 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$1,850,235 ","$916,844 ","$2,767,079 ","$137,562 ","$3,780 ","$141,342 ","$57,587 ","$25,978 ","$224,907 ","$1,708,345 ","$4,700,331 ","$33,664 ",82,6.75,12.25,26.95,39.2,2.02,"66,099","11,618","150,434","27,801","8,949","12,236","10,268",0,14,3,17,40,"6,314","414,308","34,126","1,061,779","468,466","5,064","87,355","16,848","104,203","1,149,134","1,165,982",67,32,421,"21,380",6,26,203,"1,747",30,"3,746",630,"23,153",Yes,"49,381","1,304,321",-1,99,Yes,Yes,No,Yes,Yes,CA0104,18-19
SACRAMENTO PUBLIC LIBRARY,Sacramento,Joint Powers Authority,County/Parish (most nearly),Member of a Federation or Cooperative,Multi-jurisdictional,NorthNet Library System,828 I ST.,SACRAMENTO,95814,2508,(916) 264-2965,(916) 264-2920,http://www.saclibrary.org,975,"1,466,339","771,503","164,314",1,27,2,30,"454,799","$42,889,240 ","$55,832 ","$512,749 ","$3,143,094 ","$46,600,915 ","$55,832 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$21,764,175 ","$5,271,831 ","$27,036,006 ","$2,311,298 ","$181,132 ","$2,492,430 ","$2,643,632 ","$654,073 ","$5,790,135 ","$10,707,108 ","$43,533,249 ","$2,151,020 ",542,79.5,90.5,239.5,330,30.42,"403,756","69,055","1,024,904","112,590","42,736","51,422","74,101","10,696",40,4,44,"1,721","54,608","3,712,147","141,804","6,023,789","2,595,327","124,559","2,091,445","3,264,520","5,355,965","8,115,234","11,379,754","146,053","97,865","4,968","166,364","1,232","18,559","3,332","32,796","1,546","120,184","9,532","217,719",Yes,"489,070","7,913,846","513,504",763,Yes,Yes,Yes,Yes,Yes,CA0105,18-19
SALINAS PUBLIC LIBRARY,Monterey,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,350 LINCOLN AVE.,SALINAS,93901,2692,8317587458,(831) 758-7311,http://www.salinaspubliclibrary.org,19,"162,797","49,553","19,517",1,2,1,4,"42,750","$5,113,563 ","$187,382 ",$0 ,"$486,000 ","$5,786,945 ","$158,382 ","$3,836,289 ",$0 ,$0 ,$0 ,"$3,836,289 ","$1,822,063 ","$2,072,554 ","$3,894,617 ","$140,663 ","$17,377 ","$158,040 ","$125,863 ","$53,430 ","$337,333 ","$548,185 ","$4,780,135 ","$1,010,855 ",105,11,19.5,20.5,40,4.25,"76,004","9,176","154,248","353,636","7,137","358,376","15,312","63,509",12,2,14,197,"7,873","496,939","31,703","312,730","212,545","43,435","18,339","61,162","79,501","331,069","392,231",0,0,"1,188","28,419",124,629,81,"1,052","2,225","32,815","1,393","30,100",Yes,"86,272","136,720","86,272",124,Yes,Yes,No,Yes,Yes,CA0106,18-19
SAN ANSELMO PUBLIC LIBRARY,Marin,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",NorthNet Library System,110 TUNSTEAD AVE.,SAN ANSELMO,94960,2617,4152584656,(415) 258-4656,http://sananselmolibrary.org,3,"12,902","5,715","1,294",1,0,0,1,"6,600","$924,456 ",$0 ,$0 ,"$25,000 ","$949,456 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$520,038 ","$149,952 ","$669,990 ","$70,073 ","$8,300 ","$78,373 ","$25,000 ","$10,409 ","$113,782 ","$210,434 ","$994,206 ",$0 ,6,3,3,3,6,1,"13,837","1,026","41,264","501,824","2,227","336,628","2,875","172,556",15,2,17,103,"2,571","92,366","33,650","117,577","54,439","1,667","19,098","8,707","27,805","136,675","145,382","20,890","38,928",250,"14,193",31,338,105,"1,106",6,337,386,"15,637",No,"11,756","10,396",,4,Yes,Yes,Yes,Yes,Yes,CA0107,18-19
SAN BENITO COUNTY FREE LIBRARY,San Benito,County Library General Fund,County/Parish (most nearly),Member of a Federation or Cooperative,County/Parish,Pacific Library Partnership,470 FIFTH ST.,HOLLISTER,95023,3885,8316364097,(831) 636-4107,www.sbcfl.org,"1,396.00","60,215","35,116","16,856",1,0,1,2,"11,227","$961,969 ","$43,000 ",$0 ,"$66,228 ","$1,071,197 ","$43,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$554,282 ","$228,985 ","$783,267 ","$90,000 ","$4,000 ","$94,000 ","$26,482 ","$12,068 ","$132,550 ","$155,381 ","$1,071,198 ",$0 ,14,2.7,3.7,5.77,9.47,2,"34,717","6,447","99,192","64,763","1,613","39,102","5,882","22,414",30,4,34,23,"3,179","114,565","7,752","201,765","71,448","12,071","6,586","11,748","18,334","208,351","220,099",157,97,760,"18,348",27,360,105,938,207,"8,505",892,"19,646",No,"32,930","119,882","16,028",25,Yes,Yes,Yes,Yes,Yes,CA0108,18-19
SAN BERNARDINO COUNTY LIBRARY,San Bernardino,County Library with Dedicated Tax,County/Parish (most nearly),Member of a Federation or Cooperative,County/Parish,Inland Library System,777 EAST RIALTO AVE,SAN BERNARDINO,92415,35,9093872220,(909) 790-3146,www.sbclib.org,"20,000.00","1,284,036","619,205","90,231",0,32,0,32,"368,894","$18,812,107 ","$198,548 ","$10,000 ","$1,438,883 ","$20,459,537 ","$102,305 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$5,913,119 ","$1,839,038 ","$7,752,157 ","$2,900,245 ","$36,460 ","$2,936,705 ","$270,753 ",$0 ,"$3,207,458 ","$11,254,200 ","$22,213,815 ",$0 ,317,5,27,92,119,31,"511,874","113,947","1,154,112","50,275","33,159","15,449","70,530","3,058",22,1,23,798,"66,778","2,547,954",,"5,426,725","3,714,057","70,880","598,036",,"598,036","6,024,761","6,024,761","17,841","20,892","5,951","248,283",353,"8,385","1,769","27,801",267,"29,331","8,073","284,469",Yes,"520,537","1,704,596",,808,Yes,No,Yes,Yes,Yes,CA0109,18-19
SAN BERNARDINO PUBLIC LIBRARY,San Bernardino,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Inland Library System,555 W. SIXTH ST.,SAN BERNARDINO,92410,3094,9093818215,(909) 381-8221,http://www.sbpl.org,58,"219,233","30,435","4,307",1,3,0,4,"80,300","$1,884,908 ","$176,550 ","$115,180 ","$90,000 ","$2,266,638 ","$85,050 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$953,015 ","$306,416 ","$1,259,431 ","$80,000 ","$15,000 ","$95,000 ","$46,000 ",$0 ,"$141,000 ","$570,477 ","$1,970,908 ",$0 ,36,4,4,17.7,21.7,3,"67,158","7,543","198,530","125,438","1,331",886,"12,185",0,12,4,16,171,"5,044","189,047","57,080","97,938","40,742","6,144","5,831","14,096","19,927","103,769","117,865",118,11,405,"8,339",9,142,95,"1,922",6,173,509,"10,403",Yes,"53,472",,,62,No,Yes,No,Yes,Yes,CA0110,18-19
SAN BRUNO PUBLIC LIBRARY,San Mateo,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,701 ANGUS AVE. W.,SAN BRUNO,94066,3490,6506167078,-1,http://www.sanbrunolibrary.org,6,"45,257","21,156","4,221",1,0,0,1,"15,600","$2,385,328 ","$2,000 ",$0 ,"$44,581 ","$2,431,909 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$930,684 ","$441,398 ","$1,372,082 ","$117,584 ","$11,856 ","$129,440 ","$39,347 ","$30,184 ","$198,971 ","$763,591 ","$2,334,644 ",$0 ,21,5,5,2.5,7.5,17,"29,124","2,324","75,040","51,432","8,074","9,118","11,506","17,161",21,3,24,154,"2,752","205,851","21,007","353,015","101,708","5,546","22,956","39,594","62,550","375,971","415,565","65,791","25,883",459,"16,145",5,94,103,449,61,"3,496",567,"16,688",Yes,"18,558","44,402","124,390",17,Yes,Yes,No,Yes,Yes,CA0111,18-19
SAN DIEGO COUNTY LIBRARY,San Diego,County Library with Dedicated Tax,County/Parish (most nearly),Member of a Federation or Cooperative,County/Parish,Serra Cooperative Library System,"5560 OVERLAND AVE., SUITE 110",SAN DIEGO,92123,1204,8586942415,(760) 643-5130,http://www.sdcl.org,"3,727.00","1,127,296","1,200,268","259,176",0,33,2,35,"369,972","$44,186,489 ","$240,056 ","$82,781 ","$1,433,010 ","$45,942,336 ","$48,750 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$13,804,541 ","$10,864,608 ","$24,669,149 ","$2,295,500 ","$133,547 ","$2,429,047 ","$1,865,419 ","$1,140,453 ","$5,434,919 ","$18,447,537 ","$48,551,605 ","$200,151 ",320,84,94.25,196.25,290.5,60,"499,033","65,752","991,461","97,254","82,534","44,219","259,441",809,19,2,21,"2,976","91,078","5,050,222","230,267","9,370,340","4,301,405","167,812","1,852,599","228,013","2,080,612","11,222,939","11,450,952","53,906","81,643","13,574","420,277","3,102","34,541","13,181","167,482",507,"40,268","29,857","622,300",Yes,"445,481","2,710,046","550,914",645,Yes,Yes,Yes,Yes,Yes,CA0112,18-19
SAN DIEGO PUBLIC LIBRARY,San Diego,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Serra Cooperative Library System,330 PARK BLVD,SAN DIEGO,92101,7416,6192365870,(619) 236-5800,http://www.sandiego.gov/public-library,342,"1,420,572","614,235","116,783",1,35,0,36,"950,197","$52,398,822 ","$195,500 ","$207,500 ","$7,499,306 ","$60,301,128 ","$183,896 ",$0 ,$0 ,$0 ,"$3,500,000 ","$3,500,000 ","$20,447,846 ","$17,097,167 ","$37,545,013 ","$1,191,124 ","$336,752 ","$1,527,876 ","$828,713 ","$317,000 ","$2,673,589 ","$14,625,982 ","$54,844,584 ","$13,359,730 ",637,106.9,111.05,291.58,402.63,42.5,"694,957","131,861","2,534,304","196,149","153,778","12,120","162,731",0,54,2,56,"3,421","92,986","6,996,143","850,645","7,585,255","3,691,735","306,770","452,050","16,691,280","17,143,330","8,037,305","24,728,585","11,190","8,917","11,370","301,131",,,"10,421","140,162",,,"21,791","441,293",Yes,"893,076","10,378,519","386,255","1,189",Yes,Yes,Yes,Yes,Yes,CA0113,18-19
SAN FRANCISCO PUBLIC LIBRARY,San Francisco,Municipal Library,County/Parish (exactly),Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,100 LARKIN ST,SAN FRANCISCO,94102,4705,4155574400,(415) 557-4400,http://sfpl.org,48,"883,869","454,689","68,955",1,27,4,32,"603,649","$121,214,472 ","$60,477 ",$0 ,"$1,741,505 ","$123,016,454 ","$60,477 ","$38,609,627 ",$0 ,$0 ,$0 ,"$38,609,627 ","$58,756,186 ","$32,984,781 ","$91,740,967 ","$5,083,956 ","$590,526 ","$5,674,482 ","$7,574,026 ","$2,282,279 ","$15,530,787 ","$29,287,356 ","$136,559,110 ","$3,819,203 ",902,219,219,470,689,6.94,"582,648","85,943","2,151,164","205,341","78,709","219,244","232,070","70,512",222,2,224,"11,284","75,597","5,921,679","745,796","7,909,721","2,791,241","984,358","3,820,903","1,853,190","5,674,093","11,730,624","13,583,814","49,617","34,557","10,090","377,818","2,842","36,831","5,596","92,787","1,249","66,504","18,528","507,436",No,"828,408","7,220,507","4,718,358","1,314",Yes,Yes,Yes,Yes,Yes,CA0114,18-19
SAN JOSE PUBLIC LIBRARY,Santa Clara,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,150 E SAN FERNANDO STREET,SAN JOSE,95112,3580,4088082000,(408) 808-2100,http://www.sjlibrary.org,180,"1,043,058","553,065","105,481",1,24,0,25,"912,086","$41,831,296 ","$248,187 ",$0 ,"$792,029 ","$42,871,511 ","$165,672 ","$24,234,620 ",$0 ,$0 ,$0 ,"$24,234,620 ","$22,396,538 ","$12,072,092 ","$34,468,631 ","$3,351,839 ","$235,225 ","$3,587,064 ","$1,385,106 ","$887,608 ","$5,859,777 ","$6,653,825 ","$46,982,233 ","$4,909,493 ",557,92.8,94.8,272.57,367.37,46,"882,263","113,979","1,798,196","244,170","100,364","92,588","233,344","15,785",60,2,62,"2,642","60,196","6,226,561","354,239","7,023,752","4,332,488","658,510","761,520","654,484","1,416,004","7,785,272","8,439,756","22,307","24,862","13,122","352,415","1,437","17,850","6,649","77,610",638,"40,932","21,208","447,875",No,"973,350","2,929,626","431,391","1,039",Yes,Yes,Yes,Yes,Yes,CA0115,18-19
SAN JUAN BAUTISTA CITY LIBRARY,San Benito,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,801 SECOND ST.,SAN JUAN BAUTISTA,95045,1420,8316234687,(831) 623-4687,http://www.san-juan-bautista.ca.us/city/library.htm,10,"2,081","1,375",229,1,0,0,1,"1,500","$83,475 ",$0 ,$0 ,"$17,396 ","$100,871 ",$0 ,"$59,000 ",$0 ,$0 ,$0 ,"$59,000 ","$47,054 ","$4,145 ","$51,199 ","$1,499 ",$30 ,"$1,529 ",$0 ,$460 ,"$1,989 ","$34,650 ","$87,838 ","$18,224 ",2,0,0,0.98,0.98,1,"2,992",382,"7,328",0,236,0,"1,573",0,0,1,1,2,"1,428","7,426",,"3,166","1,100",70,0,0,0,"3,166","3,166",0,3,49,573,10,15,27,450,1,25,86,"1,038",No,"1,000",,,5,Yes,Yes,Yes,Yes,Yes,CA0116,18-19
SAN LEANDRO PUBLIC LIBRARY,Alameda,Municipal Library,"Municipal Government (city, town or village) (exactly)",Not a Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Non-affiliated,300 ESTUDILLO AVE.,SAN LEANDRO,94577,4706,5105773980,(510) 577-3971,http://www.sanleandrolibrary.org,15,"89,825","24,845","8,246",1,3,0,4,"87,315","$5,312,120 ","$38,916 ",$0 ,"$45,000 ","$5,396,036 ","$38,916 ","$100,000 ",$0 ,$0 ,"$30,000 ","$130,000 ","$2,411,271 ","$1,028,294 ","$3,439,565 ","$406,904 ","$48,000 ","$454,904 ","$55,000 ","$60,000 ","$569,904 ","$1,362,651 ","$5,372,120 ",$0 ,62,18,20,19,39,20,"90,833","12,176","369,622","5,596","13,884","1,292","19,526",0,12,3,15,375,"6,729","730,926","57,491","479,452","224,623","33,252","13,115","5,596","18,711","492,567","498,163",0,0,793,"41,865",75,"4,100",155,"10,414",12,"1,100","1,023","56,379",Yes,"142,968","331,530",,89,Yes,Yes,Yes,Yes,Yes,CA0117,18-19
SAN LUIS OBISPO CITY-COUNTY LIBRARY,San Luis Obispo,County Library with Dedicated Tax,County/Parish (most nearly),Member of a Federation or Cooperative,City/County,Black Gold Cooperative Library System,995 PALM ST.,SAN LUIS OBISPO,93401,3218,8057815784,(805) 781-5989,http://slolibrary.org,"3,305.00","249,149","58,024","6,121",1,13,0,14,"100,686","$10,157,519 ","$176,350 ","$8,000 ","$444,274 ","$10,786,143 ","$120,110 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$3,278,836 ","$3,115,168 ","$6,394,004 ","$470,370 ","$34,260 ","$504,630 ","$133,389 ","$279,422 ","$917,441 ","$2,797,190 ","$10,108,635 ",$0 ,83,17,18,54.75,72.75,16.2,"132,040","15,022","274,542","316,382","27,321","59,763","57,325","22,704",15,3,18,606,"21,840","908,208","136,448","2,695,485","899,218","24,660","317,545","39,618","357,163","3,013,030","3,052,648","96,017","138,994","1,702","51,048",201,"1,908",701,"8,698",121,"9,486","2,604","61,654",Yes,"82,284","387,427","59,358",66,Yes,No,No,Yes,Yes,CA0118,18-19
SAN MATEO COUNTY LIBRARIES,San Mateo,Joint Powers Authority,County/Parish (most nearly),Member of a Federation or Cooperative,County/Parish,Pacific Library Partnership,125 LESSINGIA COURT,SAN MATEO,94402,4065,6503125258,N/A,http://smcl.org,351,"285,263","176,484","42,743",0,12,1,13,"150,636","$32,399,484 ","$97,950 ","$271,122 ","$2,832,755 ","$35,601,311 ","$85,470 ","$991,775 ",$0 ,$0 ,$0 ,"$991,775 ","$12,134,791 ","$5,241,882 ","$17,376,673 ","$967,498 ","$156,224 ","$1,123,722 ","$576,378 ","$405,199 ","$2,105,299 ","$10,585,841 ","$30,067,813 ","$2,697,632 ",123,46.25,46.25,64.15,110.4,12.26,"217,664","14,871","404,668","407,648","38,132","350,149","55,618","37,798",35,3,38,"2,153","31,111","2,147,425",,"3,073,896","1,323,111","216,542","629,831","237,095","866,926","3,703,727","3,940,822","267,029","265,543","7,679","282,758","1,417","34,659","3,316","62,865","1,850","117,781","12,412","380,282",No,"273,980","2,474,704","4,054,029",478,,Yes,No,Yes,Yes,CA0120,18-19
SAN MATEO PUBLIC LIBRARY,San Mateo,Municipal Library,"Municipal Government (city, town or village) (most nearly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,55 WEST THIRD AVE,SAN MATEO,94402,1513,6505227802,(650) 522-7818,http://www.smplibrary.org,15,"108,493","73,161","18,341",1,2,0,3,"105,603","$6,904,068 ","$82,534 ",$0 ,"$1,008,582 ","$7,995,184 ","$82,534 ","$37,418 ",$0 ,$0 ,$0 ,"$37,418 ","$3,660,449 ","$1,451,508 ","$5,111,957 ","$160,610 ","$41,337 ","$201,947 ","$180,025 ","$42,540 ","$424,512 ","$2,458,715 ","$7,995,184 ","$37,418 ",107,16.68,16.68,36.68,53.36,8.8,"86,010","9,194","255,826","357,706","19,377","86,235","20,950","32,224",26,3,29,387,"7,138","764,469","44,520","974,582","525,762","78,391","154,545","44,272","198,817","1,129,127","1,173,399","117,411","84,895",804,"28,354",88,740,453,"7,787",67,"7,393","1,345","36,881",No,"133,829","285,813","1,602,019",135,Yes,Yes,No,Yes,Yes,CA0121,18-19
SAN RAFAEL PUBLIC LIBRARY,Marin,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",NorthNet Library System,1100 E ST.,SAN RAFAEL,94901,1900,4154853323,(415) 485-3321,http://www.srpubliclibrary.org,22,"60,046","29,719","6,521",1,2,0,3,"17,685","$4,225,025 ","$3,000 ",$0 ,"$35,000 ","$4,263,025 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$1,845,423 ","$1,134,323 ","$2,979,746 ","$166,623 ","$13,250 ","$179,873 ","$52,495 ","$26,323 ","$258,691 ","$986,588 ","$4,225,025 ",$0 ,70,12,12,12,24,13.75,"43,520","2,496","123,023","486,319","3,908","324,369","7,399","26,456",42,2,44,131,"5,495","293,734","68,972","302,268","132,497","13,359","92,621","206,170","298,791","394,889","601,059","47,630","49,887",412,"15,774",112,"1,442",335,"4,870",42,"3,248",859,"22,086",No,"31,764","118,200",,28,Yes,Don't know,Yes,Yes,Yes,CA0122,18-19
SANTA ANA PUBLIC LIBRARY,Orange,Municipal Library,"Municipal Government (city, town or village) (exactly)",Not a Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Non-affiliated,26 CIVIC CENTER PLAZA,SANTA ANA,92701,4010,7146475296,(714) 647-5267,https://www.santa-ana.org/library,27,"337,716","133,266","24,184",1,4,0,5,"55,150","$4,661,057 ",$0 ,"$120,445 ",$0 ,"$4,781,502 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$2,831,000 ","$993,737 ","$3,824,737 ","$106,663 ","$9,755 ","$116,418 ","$60,269 ","$39,189 ","$215,876 ","$856,720 ","$4,897,333 ",$0 ,154,14,15,38.91,53.91,2.86,"127,316","16,949","240,295","127,955","8,800",356,"12,006",312,0,4,4,44,"8,464","295,207","30,778","211,235","170,114","41,605","5,925","72,465","78,390","217,160","289,625",120,8,"1,348","10,515","1,413","6,198",49,805,29,"2,183","2,810","17,518",Yes,"43,965","104,953",,110,Yes,Yes,Yes,Yes,Yes,CA0123,18-19
SANTA BARBARA PUBLIC LIBRARY,Santa Barbara,Municipal Library,"Municipal Government (city, town or village) (most nearly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Black Gold Cooperative Library System,40 E. ANAPAMU ST.,SANTA BARBARA,93101,2722,8055645608,(805) 962-7653,http://sbplibrary.org,"1,164.00","144,335","51,337","5,575",1,5,0,6,"79,765","$7,480,013 ","$114,860 ","$20,538 ","$1,099,752 ","$8,715,163 ","$42,860 ",$0 ,$0 ,$0 ,"$709,100 ","$709,100 ","$2,887,580 ","$1,236,666 ","$4,124,246 ","$358,731 ","$18,205 ","$376,936 ","$360,567 ","$98,035 ","$835,538 ","$2,637,736 ","$7,597,520 ","$252,511 ",63,12,14,44.56,58.56,7.76,"69,412","5,000","161,333","221,308","13,896","50,769","25,907","15,786",17,5,22,167,"13,416","796,140","74,568","1,136,592","483,306","33,929","253,989","113,716","367,705","1,390,581","1,504,297","91,291","100,430","2,214","60,426",255,"5,456","1,113","17,338",628,"15,683","3,582","83,220",Yes,"95,004","478,874","242,730",76,Yes,Yes,Yes,Yes,Yes,CA0124,18-19
SANTA CLARA CITY LIBRARY,Santa Clara,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,2635 HOMESTEAD ROAD,SANTA CLARA,95051,5322,4086152930,(408) 615-2900,http://sclibrary.org,19,"128,717","120,985","13,187",1,2,1,4,"105,122","$10,426,621 ","$104,744 ",$0 ,"$214,282 ","$10,745,647 ","$98,791 ","$220,000 ",$0 ,$0 ,"$125,000 ","$345,000 ","$5,202,035 ","$2,473,282 ","$7,675,317 ","$539,805 ","$57,033 ","$596,838 ","$307,448 ","$96,888 ","$1,001,174 ","$1,432,951 ","$10,109,442 ","$2,011,255 ",112,18,18,47.85,65.85,6.92,"187,948","14,424","389,531","422,521","12,195","337,712","16,016","40,318",50,0,50,421,"8,124","1,253,587","80,399","2,370,890","1,485,818","85,626","138,311",,"138,311","2,509,201","2,509,201","12,183","8,647",701,"67,841",167,"4,354",635,"21,536",46,"2,967","1,503","93,731",No,"127,658","1,009,822","342,765",203,Yes,Yes,No,Yes,Yes,CA0125,18-19
