Location,County,Library Type,Geographic Code,Interlibrary Relationship code,Legal Basis Code,CLSA System Library,Street Address,City,Zip,Zip +4,Public Phone Number - Administration,Reference Phone Number,Library's Web Address,Size Square Mile,Closed Outlets Due to COVID-19,Public Services During COVID-19,Electronic Library Cards During COVID-19,Reference Service During COVID-19,Outside Service During COVID-19,External WiFi Access Added During COVID-19,External WiFi Access Increased During COVID-19,Staff Re-Assigned During COVID-19,Population of The Legal Service Area,Registered Users as of June 30,Children Borrowers,# of Central Libraries,# of Branch Libraries,# of Bookmobiles,# of Outlets,Total Square Footage,Local Government Income,State Income,Federal Income,Other Operating Income,Total Operating Income,Capital Outlay Income from Local Sources,Capital Outlay Income from State  Sources,Capital Outlay Income from Federal Sources,Capital Outlay Income from Other Sources,Total Capital Outlay Income,Salary & Wages Expenditures,Employee Benefits Expenditures,Total Staff Expenditures,Print Materials Expenditures,Print Serial Subscription Expenditures,Total Print Materials Expenditures,Electronic Materials Expenditures,Other Materials Expenditures,Total Collection Expenditures,All Other Operating Expenditures,Total Operating Expenditures,Total Capital Expenditures,Total persons employed,# of ALA MLS Librarian FTEs,# of Librarian FTEs,FTE All other paid staff,Staff FTE,FTE Volunteers,Books Children Held,Books Young Adult Held,Total Print Materials Held,# of Physical Audio Materials,# of Physical Video Materials,Other Physical Items,Total Physical Items,# of Current Serial Subscriptions,# of Electronic Books,# of Downloadable Audio Materials,# of Downloadable Video Materials,Electronic Collections Locally Funded,Electronic Collections State Funded (no more than 6),# of Electronic Collections,"Hours Open, All Outlets",Library Visits,Library visits reporting method,Reference Questions,Reference transactions reporting method,Do you charge late fines?,Charge per day for Adults,For Young Adults,For Children,Do you lend laptops?,Do you lend hot spots?,Circulation of Childrens Materials,Circulation of Non English Materials,ILL loans to others,ILL loans received,Circulation of Other Physical Items,Physical Item Circulation,Circulation of Electronic Materials,Successful Retrieval of Electronic Information,Total Annual Circulation,Total Electronic Content Use,Total Content Use,Are you able to report live programming and virtual programming separately?,# of Programs,Total Program Attendance,# of Children's Programs (calculated),Children's Program Attendance,# of Pre School Programs,# of Children's Programs for Ages 0-5 (calculated),"# of Children's Programs (ages 0-5) - Live, In-person","# of Children's Programs (ages 0-5) - Live, Virtual",Pre-School Program Attendance,Children's Program Attendance (calculated),"# of Children's Program Attendees (ages 0-5) - Live, In-person","# of Children's Program Attendees (ages 0-5) - Live, Virtual",# of School Aged Programs,# of Children's Programs for Ages 6-11,"# of Children's Programs (age 6-11) - Live, In-person","# of Children's Programs (age 6-11) - Live, Virtual",School Aged Program Attendance,Children's Program Attendance,"# of Children's Program Attendees (age 6-11) - Live, In-person","# of Children's Program Attendees (age 6-11) - Live, Virtual",# of Young Adult Programs,# of Young Adult Programs (calculated),"# of Young Adult Programs - Live, In-person","# of Young Adult Programs - Live, Virtual",Young Adult Program Attendance,Young Adult Program Attendance (calculated),"Young Adult Program Attendance - Live, In-person","Young Adult Program Attendance - Live, Virtual",# of Adult Programs,# of Adult Programs (calculated),"# of Adult Programs - Live, In-person","# of Adult Programs - Live, Virtual",Adult Program Attendance,Adult Program Attendance (calculated),"Adult Program Attendance - Live, In-person","Adult Program Attendance - Live, Virtual",# of Programs for all ages,# of Programs for all ages (calculated),"# of General Interest Programs - Live, In-person","# of General Interest Programs - Live, Virtual",General Audience attendance,General Audience attendance (calculated),"General Audience Program Attendance - Live, In-person","General Audience Program Attendance - Live, Virtual","Of the above programs, how many were offsite?",Attendance at offsite programs,# recordings of program content,# views of recorded program content,# on-demand views of recorded live programs,CIPA Compliant,Annual Uses of Public Internet Computers,Reporting Method for Uses of Computers,Website visits,Wireless Sessions Per Year,Reporting Method for Wifi Sessions,# of Internet Terminals,# of self-directed activities,# of participants,Describe activities,FSCS ID,Fiscal Year
ORLAND FREE LIBRARY,Glenn,Municipal Library,"Municipal Government (city, town or village) (most nearly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",NorthNet Library System,333 MILL ST.,ORLAND,95963,1788,(530) 865-1640,-1,http://www.orlandfreelibrary.net,660,Yes,Yes,Yes,Yes,Yes,No,Yes,No,"15,987","10,939","1,419",1,0,0,1,"5,160","$463,030 ",$0 ,$0 ,$0 ,"$463,030 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$235,333 ","$156,339 ","$391,672 ","$7,878 ",$0 ,"$7,878 ",$0 ,$0 ,"$7,878 ","$40,200 ","$439,750 ",$0 ,8,1,1,4,5,1,"12,249","1,689","42,154","1,139","3,315",8,"46,616",32,"41,696","18,370",299,1,0,1,"1,640","12,881",Annual Count,-1,,No,,,,Yes,Yes,"7,462",407,21,17,-1,"20,909","4,463",-1,,"4,463","25,372",Yes,13,"1,596",12,"1,550",,8,8,0,,246,246,0,,4,4,0,,"1,304","1,304",0,,0,0,0,,0,0,0,,1,0,1,,46,0,46,,0,0,0,,0,0,0,4,-1,0,0,0,Yes,"1,954",Annual Count,"6,196",-1,,7,38,902,"""storytime to go"" kits (page with suggested rhymes, songs, activities and a craft activity)",CA0086,20-21
OXNARD PUBLIC LIBRARY,Ventura,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,251 SOUTH A ST.,OXNARD,93030,5750,(805) 385-7500,(805) 385-7532,www.oxnard.org/library,25,Yes,Yes,Yes,Yes,Yes,No,No,Yes,"204,675","84,094","20,885",1,2,0,3,"95,612","$4,107,796 ",$0 ,$0 ,$0 ,"$4,107,796 ",$0 ,$0 ,$0 ,"$22,480 ","$22,480 ","$1,376,191 ","$1,053,422 ","$2,429,613 ","$59,072 ",$0 ,"$59,072 ","$72,015 ",$0 ,"$131,087 ",,"$2,560,700 ",$0 ,29,11.5,11.5,15.2,26.7,0.31,"128,954","15,841","319,415","26,675","17,509",0,"363,599",127,"156,415","418,704","21,472",4,4,8,"6,510","5,310",Annual Estimate Based on Typical Week(s),593,Annual Count,No,$0.00 ,$0.00 ,$0.00 ,No,No,"46,190","7,937",0,0,0,"80,488","6,789","3,793",,"10,582","91,070",Yes,222,"1,040",67,288,,44,0,44,,170,0,170,,23,0,23,,118,0,118,,28,0,28,,135,0,135,,16,0,16,,97,0,97,,111,0,111,,520,0,520,0,0,141,"1,168",950,Yes,402,Annual Count,"81,948","1,976",Annual Estimate Based on Typical Week(s),45,2,-1,Two storywalks at parks in Oxnard in collaboration with Recreation division.,CA0087,20-21
PACIFIC GROVE PUBLIC LIBRARY,Monterey,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,550 CENTRAL AVE.,PACIFIC GROVE,93950,2789,(831) 648-5760,(831) 648-5762,http://www.pacificgrovelibrary.org,3,Yes,Yes,Yes,Yes,Yes,No,No,No,"15,536","17,397","2,270",1,0,0,1,"12,593","$838,667 ","$8,500 ",$0 ,"$40,000 ","$887,167 ",$0 ,$0 ,$0 ,"$244,782 ","$244,782 ","$389,231 ","$282,081 ","$671,312 ","$54,296 ","$5,243 ","$59,539 ","$29,055 ","$8,711 ","$97,305 ","$123,498 ","$892,115 ","$19,073 ",6,2.75,2.75,3.5,6.25,2,"15,082","2,533","43,957","1,803","4,871",35,"50,666",96,"14,978","8,309",0,29,1,30,126,"3,434",Annual Count,"4,859",Annual Count,No,,,,No,No,"42,810",-1,0,0,40,"57,198","26,987","9,987",,"36,974","94,172",Yes,164,"4,132",102,"2,161",,101,34,67,,"2,077",550,"1,527",,1,,1,,84,,84,,0,0,0,,0,0,0,,52,52,0,,318,318,0,,10,5,5,,"1,653",588,"1,065",90,"1,084",105,"1,868",-1,No,-1,Annual Count,-1,"3,600",Annual Estimate Based on Typical Week(s),4,44,876,"Take & Make Craft Kits, Monthly Lego Challenge, and Winter Reading Program",CA0088,20-21
PALM SPRINGS PUBLIC LIBRARY,Riverside,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Inland Library System,300 S. SUNRISE WAY,PALM SPRINGS,92262,7699,(760) 322-7323,(760) 322-7323,http://www.palmspringslibrary.org,106,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,"47,754","23,545","1,349",1,1,0,2,"38,400","$2,242,995 ","$1,993 ",$0 ,$0 ,"$2,244,988 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$906,947 ","$775,859 ","$1,682,806 ","$59,567 ",$451 ,"$60,018 ","$86,822 ","$16,617 ","$163,457 ","$396,732 ","$2,242,995 ",$0 ,19,5.5,6.5,7.9,14.4,0,"17,952","4,596","96,148","8,562","23,670",20,"128,400",1,"101,305","3,077","27,014",9,4,13,454,"12,948",Annual Count,828,Annual Count,No,,,,No,Yes,"9,801","1,074",342,39,24,"112,658","53,449","37,367",,"90,816","203,474",Yes,101,909,26,107,0,23,0,23,0,94,0,94,0,3,0,3,0,13,0,13,0,25,0,25,0,139,0,139,0,50,0,50,0,663,0,663,0,0,0,0,0,0,0,0,0,0,91,"5,902",0,Yes,"1,649",Annual Count,"69,210","3,728",Annual Count,46,0,0,,CA0090,20-21
PALMDALE CITY LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,700 E. PALMDALE BLVD.,PALMDALE,93550,4742,(661) 267-5600,(661) 267-5600,http://www.cityofpalmdale.org/library,103,Yes,Yes,Yes,Yes,Yes,No,No,No,"156,074","40,582","4,617",1,0,1,2,"12,787","$1,336,657 ",$0 ,"$33,978 ","$33,475 ","$1,404,110 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$77,480 ","$6,174 ","$83,654 ","$104,944 ","$25,042 ","$213,640 ","$1,190,470 ","$1,404,110 ",$0 ,16,3,3,9.25,12.25,0.03,"34,527","6,881","71,679","4,407","6,253",39,"82,378",37,"790,238","650,684","50,836",8,4,12,670,"7,766",Annual Count,"7,691",Annual Count,Yes,$0.20 ,$0.20 ,$0.20 ,No,Yes,"21,278","2,114","11,789","4,472",140,"45,123","7,005","9,154",,"16,159","61,282",Yes,44,"1,787",13,"1,220",,,,,-1,,,,,,,,-1,,,,,0,0,0,,0,0,0,,31,0,31,,567,0,567,,0,0,0,,0,0,0,0,0,66,"20,432",0,Yes,"1,339",Annual Count,"30,849","7,639",Annual Count,20,55,"30,713","*21 Grab and Go activities with 1,216 Participants.*1 Backpack event 2,972 participants. *33 lunch sites with 26,525 participants..Partnership with Palmdale School District where library staff used the KNOW MOBILE to take free Scholastic books and library services informational and activity based inserts to different lunch distribution sites in Palmdale. The attendance numbers indicated how many individuals received at least one free book and accompanying inserts during the Summer months and again in the Fall months. ",CA0089,20-21
PALO ALTO CITY LIBRARY,Santa Clara,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,270 FOREST AVE,PALO ALTO,94301,2512,(650) 329-2516,(650) 329-2436,http://www.cityofpaloalto.org/library/,26,Yes,Yes,Yes,Yes,Yes,No,No,Yes,"67,657","55,672","10,458",0,5,0,5,"88,089","$8,421,293 ","$9,634 ","$148,285 ","$90,056 ","$8,669,268 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$3,511,210 ","$2,972,384 ","$6,483,594 ","$173,614 ","$13,226 ","$186,840 ","$374,105 ","$80,365 ","$641,310 ","$1,392,217 ","$8,517,121 ",$0 ,93,26.05,28.05,33.23,61.28,0,"102,480","12,356","245,078","12,144","30,324",269,"287,815",237,"197,987","31,433","5,525",42,6,48,460,"97,523",Annual Count,"42,514",Annual Estimate Based on Typical Week(s),No,$0.00 ,$0.00 ,$0.00 ,Yes,No,"479,963","21,521","2,282","3,859",119,"729,139","113,648","706,056","842,787","819,704","1,548,843",Yes,513,"39,014",322,"34,878",,267,0,267,,"31,811",0,"31,811",,55,0,55,,"3,067",0,"3,067",,58,3,55,,875,82,793,,133,0,133,,"3,261",0,"3,261",,0,0,0,,0,0,0,0,0,139,"2,475",675,No,"1,018",Annual Count,"701,568","66,613",Annual Estimate Based on Typical Week(s),44,12,683,"LEGO Club (4 times, 11 participants), LEOG Club Letters of Love (1 time, 150 participants), Minecraft Passive Program (1 time, 5 participants), Thankful Tree (200 participants), Instagram (100 participants over 4 instances, Teen Book Reviews ",CA0091,20-21
PALO VERDE VALLEY LIBRARY DISTRICT,Riverside,Special District Library,"Municipal Government (city, town or village) (most nearly)",Member of a Federation or Cooperative,Library District,Inland Library System,125 W. CHANSLORWAY,BLYTHE,92225,1245,(760) 922-5371,(760) 922-5371,http://www.blythelibrary.org,"1,003.00",Yes,Yes,No,Yes,Yes,No,No,No,"22,281","11,978","3,359",1,0,0,1,"6,199","$385,232 ",$0 ,$0 ,"$7,388 ","$392,620 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$182,294 ","$85,830 ","$268,124 ","$6,535 ",$0 ,"$6,535 ",$0 ,$266 ,"$6,801 ","$70,856 ","$345,781 ",$0 ,5,0,1,4,5,0.4,"15,066","2,846","41,921","1,058","1,302",0,"44,281",0,0,0,0,0,0,0,"1,463","5,204",Annual Count,-1,Annual Count,Yes,$0.20 ,$0.20 ,$0.20 ,No,No,"11,125",29,0,0,0,"18,862",0,0,,0,"18,862",No,2,33,2,33,1,1,,0,4,4,,0,1,1,,,29,29,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,0,0,0,No,"1,208",Annual Count,"8,398",79,Annual Count,4,0,0,,CA0093,20-21
PALOS VERDES LIBRARY DISTRICT,Los Angeles,Special District Library,Metropolitan Area (exactly),Member of a Federation or Cooperative,Library District,Southern California Library Cooperative,701 SILVER SPUR RD.,ROLLING HILLS ESTATE,90274,3603,(310) 377-9584,(310) 377-9584,http://www.pvld.org,28,Yes,Yes,Yes,Yes,Yes,No,No,Yes,"66,912","45,349","6,453",1,2,0,3,"114,500","$9,371,717 ",$0 ,"$1,027 ","$332,913 ","$9,705,657 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$4,404,746 ","$1,604,764 ","$6,009,510 ","$146,812 ","$30,286 ","$177,098 ","$269,367 ","$20,164 ","$466,629 ","$1,516,460 ","$7,992,599 ","$299,041 ",75,15,15,27,42,1.6,"62,264","5,279","186,959","8,652","19,036",297,"214,944",395,"483,578","141,632","49,316",61,6,67,"6,266","51,981",Annual Count,"6,498",Annual Count,Yes,$0.30 ,$0.00 ,$0.00 ,Yes,Yes,"165,955","8,703",160,68,602,"292,813","128,033","134,748",,"262,781","555,594",Yes,61,"1,230",9,345,,0,0,0,,0,0,0,,9,0,9,,345,0,345,,12,0,12,,132,0,132,,40,0,40,,753,0,753,,0,0,0,,0,0,0,17,312,82,"9,707",0,Yes,969,Annual Count,"416,655","11,141",Annual Count,46,2,810,2 projects: STEM kaleidoscope and Black Out Poetry,CA0092,20-21
PASADENA PUBLIC LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,285 E. WALNUT ST.,PASADENA,91101,1598,(626) 744-4066,(626) 744-4066,http://cityofpasadena.net/library,23,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,"145,306","331,750","71,492",1,9,0,10,"179,336","$15,337,573 ",$0 ,"$280,500 ","$101,594 ","$15,719,667 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$5,196,413 ","$4,265,782 ","$9,462,195 ","$400,335 ","$63,359 ","$463,694 ","$305,548 ","$37,703 ","$806,946 ","$3,085,916 ","$13,355,057 ",$0 ,113,26.5,26.5,75.45,101.95,0.4,"198,155","16,178","512,063","19,235","22,534","61,996","615,828",544,"644,276","431,630","49,386",33,5,38,"3,054","66,906",Annual Count,"38,643",Annual Estimate Based on Typical Week(s),No,$0.00 ,$0.00 ,$0.00 ,No,No,"238,743","12,017",90,137,-1,"464,985","122,880","1,951",,"124,831","589,816",Yes,"1,088","49,306",568,"34,486",,281,0,281,,"16,982",0,"16,982",,287,0,287,,"17,504",0,"17,504",,94,0,94,,"2,283",0,"2,283",,425,0,425,,"12,395",0,"12,395",,1,0,1,,142,0,142,95,"3,893",64,"1,558",343,No,"1,517",Annual Count,"431,379","83,628",Annual Count,156,100,"3,078","Primarily crafts, based on kits with materials supplied by library. ",CA0094,20-21
PASO ROBLES CITY LIBRARY,San Luis Obispo,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Black Gold Cooperative Library System,1000 SPRING ST.,PASO ROBLES,93446,2599,(805) 237-3870,(805) 237-3870,http://www.prcity.com/library,17,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,"31,073","21,002","2,644",1,1,0,2,"20,607","$1,159,030 ",$0 ,$0 ,"$8,173 ","$1,167,203 ","$42,092 ",$0 ,$0 ,$0 ,"$42,092 ","$685,058 ","$262,380 ","$947,438 ","$34,936 ",$902 ,"$35,838 ","$29,198 ","$10,498 ","$75,534 ","$144,231 ","$1,167,203 ",$0 ,16,3,3,7.2,10.2,1.3,"21,628","1,888","54,630","3,227","4,005",103,"61,965",18,"3,353","4,508","1,092",4,6,10,"2,856","54,911",Annual Count,"11,098",Annual Count,No,$0.00 ,$0.00 ,$0.00 ,Yes,Yes,"77,375","5,735","25,514","12,733",705,"176,223","54,609","11,926",,"66,535","242,758",Yes,263,"2,098",223,"1,900",,128,8,120,,"1,270",174,"1,096",,95,0,95,,630,0,630,,6,0,6,,27,0,27,,34,0,34,,171,0,171,,0,0,0,,0,0,0,0,0,230,666,"1,066",Yes,"3,657",Annual Count,"33,159","7,020",Annual Count,19,148,"5,107","Weekly craft and activity kits designed for all ages. The kits were associated with the programming being offered virtually, but not required.",CA0095,20-21
PLACENTIA LIBRARY DISTRICT,Orange,Special District Library,"Municipal Government (city, town or village) (most nearly)",Member of a Federation or Cooperative,Library District,Santiago,411 E. CHAPMAN AVE.,PLACENTIA,92870,6198,(714) 528-1925,(714) 528-1906,https://www.placentialibrary.org,7,Yes,Yes,Yes,Yes,Yes,No,No,No,"51,173","55,960","12,036",1,0,0,1,"22,800","$2,820,633 ","$40,477 ",$0 ,"$230,454 ","$3,091,564 ","$470,170 ",$0 ,$0 ,"$73,900 ","$544,070 ","$998,491 ","$487,758 ","$1,486,249 ","$107,807 ","$2,010 ","$109,817 ","$81,815 ","$31,353 ","$222,985 ","$778,229 ","$2,487,463 ","$57,403 ",26,9,13,12.75,25.75,2,"36,332","3,631","72,161","1,886","6,405",399,"80,851",20,"527,016","427,828","49,589",16,6,22,"1,238","80,315",Annual Count,"17,768",Annual Count,No,$0.00 ,$0.00 ,$0.00 ,Yes,Yes,"70,668","2,162",0,0,"1,296","121,086","120,553","62,106",,"182,659","303,745",Yes,259,"22,727",104,"21,665",,103,0,103,,"21,015",0,"21,015",,1,1,0,,650,0,650,,26,0,26,,165,0,165,,127,0,127,,859,0,859,,2,0,2,,38,0,38,0,0,23,"4,751",785,Yes,"6,141",Annual Estimate Based on Typical Week(s),"114,739","4,500",Annual Count,33,6,"1,290","Reading Programs, Escape Rooms, Self Guided Walks",CA0096,20-21
PLACER COUNTY LIBRARY,Placer,County Library with Dedicated Tax,County/Parish (most nearly),Member of a Federation or Cooperative,County/Parish,NorthNet Library System,350 NEVADA ST.,AUBURN,95603,3789,(530) 886-4501,(530) 886-4510,http://www.placer.ca.gov/library,"1,403.60",Yes,Yes,Yes,Yes,Yes,No,No,Yes,"201,687","105,298","11,299",1,8,0,9,"60,964","$8,304,807 ","$71,785 ",$0 ,"$49,650 ","$8,426,242 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$2,671,658 ","$2,073,018 ","$4,744,676 ","$216,585 ","$18,102 ","$234,687 ","$151,405 ","$61,173 ","$447,265 ","$2,512,161 ","$7,704,102 ",$0 ,49.48,13,13,36.48,49.48,0,"93,205","16,640","212,222","16,803","21,625",358,"251,008",0,"70,766","9,301",287,9,4,13,"2,727","58,175",Annual Count,"2,224",Annual Count,Yes,$0.25 ,$0.25 ,$0.25 ,No,No,"113,115","1,869",0,0,357,"264,952","144,427",-1,,"144,427","409,379",Yes,23,906,4,331,,3,0,3,,251,0,251,,1,0,1,,80,0,80,,0,0,0,,0,0,0,,18,0,18,,75,0,75,,1,1,0,,500,500,0,1,500,87,"3,665",362,No,50,Annual Count,"164,547",-1,Annual Count,41,68,"8,746","Take-Home Activity bags which included a range of activities from arts and crafts projects to engineering challenges, basic chemistry experiments, nature science projects, and more. Also Beanstack challenges which varied from digital escape rooms to outdoor scavenger hunts.",CA0009,20-21
PLEASANTON PUBLIC LIBRARY,Alameda,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Pacific Library Partnership,400 OLD BERNAL AVE.,PLEASANTON,94566,7012,(925) 931-3400,(925) 931-3400,http://www.cityofpleasantonca.gov/gov/depts/lib/default.asp,22,Yes,Yes,Yes,Yes,Yes,No,No,Yes,"78,371","54,730","8,778",1,0,0,1,"30,000","$4,619,768 ","$55,247 ","$13,000 ",$0 ,"$4,688,015 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$1,973,119 ","$1,496,993 ","$3,470,112 ","$106,138 ","$8,835 ","$114,973 ","$324,696 ","$54,895 ","$494,564 ","$324,540 ","$4,289,216 ",$0 ,,11.35,11.35,21.5,32.85,5,"84,515","6,134","140,778","9,478","13,034",35,"163,325",153,"1,505,563","1,444,530","165,619",14,5,19,868,"41,238",Annual Count,"27,359",Annual Count,No,$0.00 ,$0.00 ,$0.00 ,Yes,No,"328,956","1,587","6,084","3,962",55,"463,420","248,074","193,824",,"441,898","905,318",Yes,96,"4,894",47,"3,330",,43,0,43,,"3,315",0,"3,315",,4,0,4,,15,0,15,,4,0,4,,49,0,49,,40,12,28,,191,28,163,,5,0,5,,"1,324",0,"1,324",0,0,43,"11,000",0,Yes,"2,855",Annual Count,"567,527","4,301",Annual Count,39,2,20,Participants picked up supply materials from the library curbside for self-directed crafts.,CA0206,20-21
PLUMAS COUNTY LIBRARY,Plumas,County Library with Dedicated Tax,Multi-County (exactly),Member of a Federation or Cooperative,County/Parish,NorthNet Library System,445 JACKSON ST.,QUINCY,95971,9410,(530) 283-6310,-1,https://www.plumascounty.us/546/Library,"3,528.00",Yes,Yes,Yes,Yes,Yes,No,No,Yes,"21,305","9,480","1,603",1,7,0,8,"18,651","$504,016 ","$62,618 ","$10,928 ","$8,333 ","$585,895 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$320,037 ","$169,932 ","$489,969 ","$7,010 ","$2,024 ","$9,034 ","$7,578 ","$1,469 ","$18,081 ","$87,122 ","$595,172 ",$0 ,28,1,2.72,8.65,11.37,0.58,"21,470","3,044","84,966","6,462","7,205","1,185","99,818",90,"41,716","18,386","24,493",3,6,9,"5,861","10,469",Annual Count,"4,048",Annual Count,Yes,$0.10 ,$0.10 ,$0.10 ,No,Yes,"8,372",95,0,0,"24,552","33,019","7,223",-1,,"7,223","40,242",Yes,82,928,74,765,,0,0,0,,155,30,125,,74,29,45,,610,523,87,,2,2,0,,57,57,0,,6,3,3,,106,92,14,,0,0,0,,0,0,0,15,337,25,-1,3,No,"2,023",Annual Count,-1,-1,,24,37,"1,151","Bags of books, crafts, etc were given out to patrons. Crafts/activities were available to do (take home or in the Library) in exchange for books. ",CA0097,20-21
POMONA PUBLIC LIBRARY,Los Angeles,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Southern California Library Cooperative,625 S. GAREY AVE.,POMONA,91766,3322,(909) 620-2035,(909) 620-2043,http://www.pomonalibrary.org,23,Yes,Yes,Yes,Yes,Yes,No,No,No,"151,319","43,182","4,382",1,0,0,1,"57,000","$793,606 ",$0 ,$0 ,$0 ,"$793,606 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$275,395 ","$60,830 ","$336,225 ","$21,190 ","$1,998 ","$23,188 ","$22,554 ",$0 ,"$45,742 ","$411,639 ","$793,606 ",$0 ,20,2.25,2.25,7.5,9.75,0,"43,605","6,267","215,591","4,668","2,087",0,"222,346",39,353,190,0,0,0,0,"1,102","2,061",Annual Estimate Based on Typical Week(s),602,Annual Estimate Based on Typical Week(s),Yes,$0.25 ,$0.25 ,$0.25 ,Yes,No,"2,750",214,0,0,57,"3,021",-1,-1,,,"3,021",Yes,1,412,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,1,1,0,,412,412,0,0,0,8,461,0,Yes,-1,Annual Estimate Based on Typical Week(s),-1,-1,Annual Estimate Based on Typical Week(s),36,3,142,pick up and take home crafts,CA0098,20-21
PORTERVILLE PUBLIC LIBRARY,Tulare,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",San Joaquin Valley Library System,"15 EAST THURMAN AVENUE, SUITE B",PORTERVILLE,93257,3704,(559) 784-0177,(559) 784-0177,http://www.portervillelibrary.org,12,No,Yes,Yes,Yes,No,No,No,Yes,"59,571","11,191","2,524",1,0,0,1,"17,784","$1,394,013 ","$84,855 ",$0 ,$0 ,"$1,478,868 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$505,346 ","$281,346 ","$786,692 ","$6,247 ",$201 ,"$6,448 ","$19,379 ",$0 ,"$25,827 ","$70,026 ","$882,545 ",$0 ,19,1,1,14,15,0,"8,966",877,"14,412",288,"2,632",0,"17,332",6,"771,174","430,866","21,810",49,4,53,0,0,Annual Count,-1,Annual Estimate Based on Typical Week(s),Yes,$0.25 ,$0.25 ,$0.25 ,No,No,"1,502",286,16,1,0,"3,009","6,722","1,197",,"7,919","10,928",Yes,"1,127","15,168",151,"12,501",,85,0,85,,"10,105",0,"10,105",,66,16,50,,"2,396","2,365",31,,6,3,3,,308,307,1,,927,6,921,,"1,942",11,"1,931",,43,39,4,,417,401,16,17,"2,287",13,"1,039",0,Yes,0,Annual Count,"5,305",0,Annual Count,0,4,"2,975",Grab 'n' Go craft bags,CA0099,20-21
RANCHO CUCAMONGA PUBLIC LIBRARY,San Bernardino,Municipal Library,"Municipal Government (city, town or village) (exactly)",Member of a Federation or Cooperative,"Municipal Government (city, town or village)",Inland Library System,12505 CULTURAL CENTER DRIVE,RANCHO CUCAMONGA,91739,8546,(909) 477-2720,(909) 477-2720,http://www.rcpl.lib.ca.us/,38,Yes,Yes,Yes,Yes,Yes,No,No,No,"175,131","319,132","31,903",0,2,1,3,"45,497","$5,214,240 ","$85,350 ","$10,861 ","$192,319 ","$5,502,770 ","$925,000 ",$0 ,$0 ,"$200,000 ","$1,125,000 ","$1,653,305 ","$787,425 ","$2,440,730 ","$381,513 ","$8,222 ","$389,735 ","$219,096 ","$44,271 ","$653,102 ","$1,055,641 ","$4,149,473 ","$1,125,000 ",36,11,14,41,55,2,"108,830","13,426","219,214","15,109","15,319",41,"249,683",257,"617,931","144,880","30,274",27,5,32,816,"23,680",Annual Count,"18,176",Annual Count,No,$0.00 ,$0.00 ,$0.00 ,No,No,"204,886","2,586","1,946",595,206,"331,315","82,470","477,389",,"559,859","891,174",Yes,154,"1,259",49,585,,49,0,49,,585,0,585,,0,0,0,,0,0,0,,18,0,18,,127,0,127,,87,0,87,,547,0,547,,0,0,0,,0,0,0,0,0,8,"1,621","1,178",Yes,"4,503",Annual Count,"173,183",-1,,7,8,"1,900","Craft kit giveaways for children and teens included DIY crafts, sticker sheets, etc. Kits were themed around monthly holidays and seasons, including Summer Reading Program.",CA0194,20-21
